nullsmokedPerDay0,smokedPerDay1,smokedPerDay2,smokedPerDay3,smokedPerDay4,smokedPerDay5,smokedPerDay6,smokedPerDay7,smokedPerDay8,smokedPerDay9,smokedPerDay10,smokedPerDay11,smokedPerDay12,smokedPerDay13
11,11,24,24,24,24,24,24,24,24,24,24,24,24
0,12,28,68,68,68,28,28,28,28,28,28,28,28
0,0,64,12,12,12,26,26,35,35,35,35,61,64
0,0,58,58,63,52,24,24,37,39,49,55,55,55
0,20,20,20,20,20,20,20,20,20,20,20,20,20
0,31,67,67,67,12,31,31,56,64,64,64,12,12
11,11,57,57,57,59,11,11,26,26,39,39,59,62
0,0,64,12,12,12,26,33,33,33,50,67,69,69
0,0,32,32,32,32,25,25,32,32,32,32,32,32
12,12,65,65,65,13,12,12,12,44,44,44,65,65
0,19,11,11,70,70,19,19,19,19,19,19,19,11
12,12,55,55,55,55,28,28,28,28,55,55,55,55
0,0,12,12,12,12,25,25,25,25,25,61,60,12
0,0,12,12,66,61,0,0,47,47,47,13,12,12
0,0,0,0,0,60,0,0,0,0,0,0,0,0
13,13,64,64,64,64,13,13,13,13,13,13,13,13
12,12,13,12,68,68,32,32,32,32,32,32,69,69
0,15,51,51,11,11,21,21,21,21,21,51,51,51
0,0,58,65,69,69,0,34,43,52,60,60,61,58
0,0,38,38,38,38,27,27,38,38,38,38,38,38
0,0,64,64,64,64,30,33,33,33,48,48,48,48
0,19,12,12,12,12,22,22,22,44,44,44,58,12
0,0,56,62,62,12,0,41,34,52,52,68,68,68
0,0,0,0,45,48,0,0,0,0,0,0,0,0
13,13,12,64,12,12,59,59,58,68,68,68,70,70
0,0,12,12,12,13,0,0,29,34,51,51,57,12
0,0,70,12,12,12,25,25,25,25,25,25,25,68
0,18,25,25,25,25,25,25,25,25,25,25,25,25
12,12,12,65,69,69,23,23,28,36,59,65,56,12
0,0,12,12,12,13,28,41,41,41,12,12,12,12
12,12,65,65,65,11,12,12,12,12,12,12,12,12
0,0,68,68,68,68,0,0,0,39,39,39,39,49
12,12,12,67,67,67,12,37,55,55,54,54,12,12
12,12,51,51,65,65,12,53,53,53,53,53,53,53
0,0,58,58,58,58,0,0,0,0,0,0,0,0
0,0,12,13,65,65,0,0,41,41,51,51,51,12
12,12,65,65,66,66,20,20,29,34,34,34,65,65
11,20,20,20,13,13,20,20,20,20,20,20,20,20
0,0,61,59,70,70,0,30,39,39,43,43,66,66
0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,67,11,11,11,35,35,35,53,53,67,67,67
0,22,57,57,68,11,22,32,38,38,38,38,12,12
0,0,39,39,12,12,0,28,39,39,39,39,39,39
0,0,13,13,13,13,0,0,47,47,47,12,12,13
0,0,66,12,68,68,0,19,19,19,19,19,19,66
0,13,55,69,69,12,13,13,32,32,32,55,55,55
0,0,61,68,12,70,0,19,36,36,36,12,12,61
0,0,13,13,13,12,0,0,0,0,0,0,13,13
