nullstepsSinceGiveUp0,stepsSinceGiveUp1,stepsSinceGiveUp2,stepsSinceGiveUp3,stepsSinceGiveUp4,stepsSinceGiveUp5,stepsSinceGiveUp6,stepsSinceGiveUp7,stepsSinceGiveUp8,stepsSinceGiveUp9,stepsSinceGiveUp10,stepsSinceGiveUp11,stepsSinceGiveUp12,stepsSinceGiveUp13
0,7,98,107,118,127,17,27,37,48,57,67,78,88
0,0,86,2,13,22,5,15,25,36,45,55,66,76
0,9,1,10,21,30,19,29,8,19,28,2,2,7
0,0,3,12,3,3,0,6,1,5,5,4,15,10
0,0,0,0,2,11,0,0,0,0,0,0,0,0
0,9,17,26,37,6,19,4,5,11,20,1,8,7
0,0,11,20,9,2,3,13,23,6,15,8,6,1
0,0,20,6,1,10,4,14,24,9,3,2,8,10
0,9,65,74,85,94,19,29,4,15,24,34,45,55
0,0,35,44,55,7,0,0,3,14,23,4,15,25
0,9,19,4,15,24,19,29,39,50,59,69,80,9
0,9,43,52,63,72,19,29,39,50,2,12,23,33
0,0,22,31,42,7,0,0,0,0,0,6,2,12
0,9,23,32,43,7,19,29,2,13,22,32,3,13
0,9,100,109,120,129,19,29,39,50,59,69,80,90
0,0,14,23,34,43,0,0,0,0,0,0,0,4
0,9,1,10,8,17,19,29,39,50,59,69,6,1
0,3,37,46,8,1,13,23,33,44,53,6,17,27
0,0,10,2,13,1,0,9,19,8,9,2,5,15
0,9,75,84,95,104,19,4,14,25,34,44,55,65
0,0,4,13,24,7,2,12,22,3,12,22,33,43
0,1,17,26,37,46,11,21,5,16,25,1,12,7
0,0,24,9,3,12,0,7,17,2,11,7,4,14
0,9,100,109,120,6,19,29,39,50,59,69,80,90
0,3,4,2,6,15,13,10,9,3,12,5,16,26
0,0,7,4,5,2,0,0,2,3,12,8,4,7
0,0,12,8,10,19,0,0,0,0,0,10,21,2
0,0,88,97,108,117,7,17,27,38,47,57,68,78
0,0,14,6,17,26,10,20,7,8,17,3,14,4
0,0,45,1,12,21,1,11,21,32,4,14,25,35
0,0,15,7,18,5,0,0,0,0,0,10,9,5
0,9,2,11,22,31,19,29,39,50,1,11,22,9
0,0,10,7,8,17,2,3,13,8,17,3,14,24
0,0,52,1,12,21,0,10,20,2,11,21,32,42
0,9,100,109,120,129,19,29,39,50,59,69,80,90
0,0,40,1,12,21,0,0,3,14,23,9,20,30
0,0,24,9,6,15,10,1,5,16,25,35,4,14
0,4,95,1,12,21,14,24,34,45,54,64,75,85
0,9,6,1,3,12,19,3,7,8,2,12,23,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,4,13,24,2,19,29,39,6,1,11,22,32
0,9,4,13,8,3,4,14,8,11,20,30,3,8
0,9,47,56,5,14,19,4,14,25,6,16,27,37
0,0,11,20,6,9,0,0,0,6,15,4,15,1
0,0,9,5,1,10,0,0,0,2,11,21,32,42
0,0,2,5,16,25,0,0,8,19,1,8,19,29
0,0,4,13,5,5,0,0,10,21,6,6,17,9
0,0,21,30,41,50,0,0,0,0,0,0,1,11
0,7,98,107,118,127,17,27,37,48,57,67,78,88
