nullid0,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12
n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0
n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1
n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2
n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3
n5,n5,n5,n5,n5,n5,n5,n5,n5,n5,n5,n5,n5
n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9
n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10
n11,n11,n11,n11,n11,n11,n11,n11,n11,n11,n11,n11,n11
n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12
n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13
n14,n14,n14,n14,n14,n14,n14,n14,n14,n14,n14,n14,n14
n21,n21,n21,n21,n21,n21,n21,n21,n21,n21,n21,n21,n21
n23,n23,n23,n23,n23,n23,n23,n23,n23,n23,n23,n23,n23
n28,n28,n28,n28,n28,n28,n28,n28,n28,n28,n28,n28,n28
n31,n31,n31,n31,n31,n31,n31,n31,n31,n31,n31,n31,n31
n36,n36,n36,n36,n36,n36,n36,n36,n36,n36,n36,n36,n36
n37,n37,n37,n37,n37,n37,n37,n37,n37,n37,n37,n37,n37
n39,n39,n39,n39,n39,n39,n39,n39,n39,n39,n39,n39,n39
n40,n40,n40,n40,n40,n40,n40,n40,n40,n40,n40,n40,n40
n42,n42,n42,n42,n42,n42,n42,n42,n42,n42,n42,n42,n42
n45,n45,n45,n45,n45,n45,n45,n45,n45,n45,n45,n45,n45
n46,n46,n46,n46,n46,n46,n46,n46,n46,n46,n46,n46,n46
n49,n49,n49,n49,n49,n49,n49,n49,n49,n49,n49,n49,n49
n51,n51,n51,n51,n51,n51,n51,n51,n51,n51,n51,n51,n51
n53,n53,n53,n53,n53,n53,n53,n53,n53,n53,n53,n53,n53
n59,n59,n59,n59,n59,n59,n59,n59,n59,n59,n59,n59,n59
n62,n62,n62,n62,n62,n62,n62,n62,n62,n62,n62,n62,n62
n69,n69,n69,n69,n69,n69,n69,n69,n69,n69,n69,n69,n69
n70,n70,n70,n70,n70,n70,n70,n70,n70,n70,n70,n70,n70
n73,n73,n73,n73,n73,n73,n73,n73,n73,n73,n73,n73,n73
n75,n75,n75,n75,n75,n75,n75,n75,n75,n75,n75,n75,n75
n81,n81,n81,n81,n81,n81,n81,n81,n81,n81,n81,n81,n81
n82,n82,n82,n82,n82,n82,n82,n82,n82,n82,n82,n82,n82
n86,n86,n86,n86,n86,n86,n86,n86,n86,n86,n86,n86,n86
n87,n87,n87,n87,n87,n87,n87,n87,n87,n87,n87,n87,n87
n88,n88,n88,n88,n88,n88,n88,n88,n88,n88,n88,n88,n88
n89,n89,n89,n89,n89,n89,n89,n89,n89,n89,n89,n89,n89
n90,n90,n90,n90,n90,n90,n90,n90,n90,n90,n90,n90,n90
n93,n93,n93,n93,n93,n93,n93,n93,n93,n93,n93,n93,n93
n94,n94,n94,n94,n94,n94,n94,n94,n94,n94,n94,n94,n94
n96,n96,n96,n96,n96,n96,n96,n96,n96,n96,n96,n96,n96
n97,n97,n97,n97,n97,n97,n97,n97,n97,n97,n97,n97,n97
n98,n98,n98,n98,n98,n98,n98,n98,n98,n98,n98,n98,n98
n100,n100,n100,n100,n100,n100,n100,n100,n100,n100,n100,n100,n100
n101,n101,n101,n101,n101,n101,n101,n101,n101,n101,n101,n101,n101
