nullisSmoker0,isSmoker1,isSmoker2,isSmoker3,isSmoker4,isSmoker5,isSmoker6,isSmoker7,isSmoker8,isSmoker9,isSmoker10,isSmoker11,isSmoker12
true,false,true,true,true,true,true,false,false,true,true,true,true
true,false,false,true,true,false,true,true,false,true,true,false,false
false,false,false,false,false,false,false,true,true,true,true,true,true
true,true,false,false,true,true,false,true,true,true,false,false,false
true,true,false,false,true,true,true,true,false,false,false,false,true
true,true,true,true,true,true,false,true,false,false,true,false,true
true,true,true,true,true,true,true,false,false,true,true,false,true
false,false,true,false,true,false,true,true,false,false,true,false,true
true,true,true,false,false,true,true,true,true,false,true,false,true
true,false,false,false,false,false,true,true,false,false,true,true,false
true,true,true,true,false,true,true,true,false,true,false,false,false
true,true,true,false,true,true,true,false,false,true,true,true,false
true,true,false,true,true,true,true,false,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,false,false,false,false,false,false,false,false,false,false,false
false,true,true,true,true,true,true,true,false,true,true,true,true
true,true,false,false,true,true,true,true,false,false,false,false,false
true,true,false,true,false,true,false,false,true,true,true,false,false
false,true,true,true,true,true,false,false,true,true,true,false,false
false,false,false,true,false,false,false,false,false,false,false,false,false
false,false,true,false,true,true,true,true,true,true,false,true,true
true,true,true,false,true,true,false,true,true,true,false,false,true
false,false,false,false,false,false,true,false,true,false,false,false,true
true,true,false,false,true,true,true,true,true,false,false,false,false
false,false,true,false,true,false,true,true,false,true,false,false,true
false,false,false,false,false,false,false,false,false,false,false,false,false
false,false,false,true,false,false,true,true,false,false,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
false,true,false,true,true,false,true,true,false,false,false,true,true
false,false,true,true,false,true,true,false,false,false,true,false,false
true,true,true,false,true,true,true,true,false,true,true,true,true
true,true,false,false,false,true,true,false,false,false,false,false,false
true,false,false,true,false,true,true,true,true,true,true,false,false
false,true,false,true,false,true,true,true,true,true,true,true,false
true,false,false,true,true,false,true,true,true,true,true,true,true
false,true,false,true,false,true,false,false,true,true,true,false,true
true,true,false,true,true,true,true,true,false,false,true,false,false
false,false,true,true,true,false,true,true,true,true,true,true,true
true,false,false,true,true,true,true,true,true,true,true,true,false
true,false,true,false,false,true,true,true,true,false,true,true,true
false,false,true,true,true,false,false,true,true,false,true,true,true
true,false,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,false,true,false,false,false,true,false,false
false,false,false,false,false,false,false,false,false,false,false,false,false
false,false,false,false,true,true,false,false,true,false,false,true,true
true,true,false,true,true,true,true,false,false,true,true,true,false
false,false,true,false,true,false,true,false,false,false,true,true,true
true,true,true,true,true,true,false,false,true,true,true,false,true
true,true,true,false,true,false,false,false,false,false,false,true,true
true,true,true,false,false,true,false,true,true,true,false,true,true
false,false,false,false,true,false,false,false,true,false,true,true,false
true,true,false,true,true,true,true,true,true,true,false,true,true
true,true,true,false,true,false,false,false,true,true,false,false,false
true,true,true,true,false,false,true,false,false,false,false,false,false
true,true,true,false,true,true,true,false,true,true,true,true,true
true,false,false,false,true,false,true,true,true,false,true,true,true
true,true,false,true,true,false,false,true,false,false,false,false,true
false,true,true,true,true,true,true,true,false,true,true,false,false
false,true,false,false,true,true,true,true,true,false,true,true,false
false,false,false,true,true,true,true,true,false,true,true,false,true
true,true,false,false,false,false,false,false,false,true,false,false,false
false,false,false,false,true,false,false,false,true,true,true,true,false
true,false,true,false,true,true,true,true,true,true,true,true,true
true,true,false,true,true,true,true,true,true,false,false,false,false
true,true,true,true,true,true,true,true,false,true,true,true,true
true,true,true,true,true,true,true,false,true,false,true,true,true
true,false,true,true,true,true,true,true,true,true,true,true,true
true,false,false,false,true,false,false,false,false,true,false,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
true,false,false,true,true,false,false,true,false,false,false,true,true
false,true,false,true,true,true,true,true,true,true,true,true,true
true,false,false,true,true,false,false,true,false,true,true,false,true
true,false,false,false,true,false,true,true,false,true,true,false,true
false,false,true,true,true,false,true,true,true,false,false,false,true
true,true,false,false,true,true,true,true,true,false,false,false,true
true,false,true,true,true,false,true,true,true,false,true,false,true
false,false,true,true,true,false,true,true,true,true,true,false,true
true,false,true,true,true,false,false,true,false,false,false,false,true
false,false,true,false,false,false,true,true,true,true,true,true,true
false,true,false,false,true,true,true,false,true,false,true,false,false
false,false,false,true,true,false,true,true,true,true,true,true,false
false,false,false,true,false,true,false,false,false,false,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
true,false,true,false,true,true,false,true,false,true,false,true,true
false,false,false,true,true,true,true,true,true,false,true,true,true
true,true,true,false,true,true,true,true,true,true,true,true,true
true,false,true,false,true,true,true,true,false,false,true,true,true
false,false,false,true,true,true,true,true,true,true,true,false,false
false,false,false,true,true,false,false,true,true,true,true,false,true
false,false,true,false,true,true,true,true,true,false,false,true,false
false,true,false,false,false,true,true,false,true,true,false,true,false
true,false,true,false,true,true,true,false,true,true,true,true,false
false,true,false,true,true,true,true,false,false,false,false,false,true
true,false,false,false,true,true,true,false,false,false,false,false,false
false,false,true,true,true,true,true,true,false,false,true,true,true
true,false,true,false,false,false,true,false,true,true,false,false,false
true,true,true,true,true,false,false,true,false,true,true,true,true
false,false,true,true,false,false,true,false,false,false,true,true,false
false,false,false,false,true,false,false,true,true,true,false,false,true
true,true,false,false,true,true,false,true,false,false,true,false,true
false,false,true,true,true,true,true,true,true,true,true,true,true
true,false,false,true,true,false,false,false,true,false,true,true,true
true,true,true,true,true,true,true,false,false,true,true,false,false
false,false,false,true,true,false,true,true,true,true,false,true,false
false,true,true,true,true,true,false,false,false,false,true,true,true
true,true,true,false,false,true,true,true,true,false,false,false,true
true,false,true,true,true,true,true,true,true,true,true,false,false
false,false,false,false,false,false,false,false,false,false,false,false,false
true,false,false,true,true,false,true,true,true,true,true,false,true
true,false,false,false,true,true,true,false,true,false,false,false,false
true,true,false,true,true,true,true,false,true,true,true,true,true
true,true,false,false,false,true,true,true,true,false,false,false,false
true,true,true,true,true,true,true,true,true,true,true,true,false
false,false,false,true,true,false,false,true,false,true,false,true,true
true,true,false,false,true,true,true,true,false,true,false,true,false
false,true,false,true,true,true,false,true,true,true,true,true,true
true,false,true,false,true,false,true,true,true,true,true,true,true
true,true,true,true,true,true,false,false,false,false,true,false,false
false,false,false,false,true,true,false,false,true,false,true,true,true
false,true,true,true,true,false,true,false,false,true,false,true,false
false,true,true,true,false,true,true,true,true,true,true,true,true
true,false,true,true,true,false,false,true,true,true,true,true,true
false,false,true,true,true,false,false,true,false,true,true,false,false
true,true,true,true,true,true,true,true,true,true,true,true,true
true,false,true,false,true,true,true,true,false,false,true,false,true
true,false,true,true,false,false,false,false,false,false,true,true,true
false,true,true,false,false,true,true,false,false,false,false,true,false
true,true,false,false,true,true,false,false,false,false,false,true,false
true,true,false,true,true,true,true,false,false,false,true,false,true
false,false,true,true,true,false,true,true,false,false,true,false,false
true,false,true,true,true,false,true,true,true,true,true,true,true
false,true,false,false,true,true,true,false,false,true,false,false,false
true,false,false,false,false,true,true,true,false,true,false,true,true
false,false,true,true,true,false,false,false,false,false,true,true,true
true,true,false,true,true,false,true,true,true,false,true,false,true
true,true,true,false,false,true,true,false,false,true,false,false,false
false,false,false,true,false,true,true,true,true,true,false,false,true
false,false,false,false,false,false,false,false,false,false,false,false,false
true,false,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,true,true,true,true,false,false,true,false
false,false,false,false,true,true,false,false,false,false,false,true,false
true,true,false,false,true,true,true,false,true,false,true,false,false
true,true,false,false,false,false,true,false,true,false,true,true,false
false,false,false,true,true,false,false,true,true,true,true,false,true
false,false,true,true,true,true,true,false,true,true,true,true,false
false,false,false,true,false,false,true,true,true,true,true,true,true
false,false,false,true,true,true,false,false,true,true,false,true,true
true,false,true,true,false,true,true,true,false,true,true,true,true
false,true,false,false,true,true,true,false,true,true,true,true,true
