nullstepsSinceGiveUp0,stepsSinceGiveUp1,stepsSinceGiveUp2,stepsSinceGiveUp3,stepsSinceGiveUp4,stepsSinceGiveUp5,stepsSinceGiveUp6,stepsSinceGiveUp7,stepsSinceGiveUp8,stepsSinceGiveUp9,stepsSinceGiveUp10,stepsSinceGiveUp11,stepsSinceGiveUp12
0,1,40,51,6,10,21,1,12,21,10,20,31
0,5,27,7,16,14,25,34,1,10,20,7,18
0,10,5,16,25,19,30,39,50,59,69,79,90
0,0,2,13,22,0,2,4,15,24,3,6,2
0,0,8,7,16,0,0,6,11,20,30,40,51
0,0,24,9,18,0,9,18,4,13,8,4,15
0,0,27,38,6,0,0,2,7,16,26,7,18
0,10,21,7,16,19,30,9,1,10,20,1,12
0,0,23,1,4,0,10,19,7,5,15,3,14
0,3,16,9,1,12,23,32,5,14,9,7,7
0,0,11,9,6,0,0,0,5,14,10,20,2
0,0,13,8,17,0,0,1,8,17,27,8,4
0,0,8,19,4,0,0,1,12,21,10,20,31
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,1,5,2,2,5,14,5,15,6
0,10,4,5,7,19,30,6,1,10,9,10,5
0,0,7,18,2,0,0,0,6,15,4,14,25
0,9,4,15,5,18,5,1,12,21,31,5,5
0,10,8,19,28,19,1,2,13,22,32,2,6
0,10,33,44,1,19,30,39,50,59,3,13,24
0,10,31,9,18,19,6,15,6,15,1,11,22
0,0,6,1,10,0,4,13,24,9,1,8,19
0,0,1,12,21,0,0,7,18,1,2,12,23
0,0,10,4,13,0,0,0,0,2,1,11,1
0,10,8,9,18,4,15,7,9,18,4,8,19
0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,2,13,3,6,17,8,10,2,12,9,20
0,0,77,88,97,0,8,17,28,37,47,57,68
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,15,24,4,15,24,4,13,23,33,3
0,10,24,35,2,19,30,5,3,12,22,4,15
0,0,7,9,18,6,17,6,3,6,2,12,3
0,0,69,80,89,0,0,9,20,29,39,49,60
0,3,3,14,1,12,23,32,43,52,5,5,2
0,6,11,22,1,15,26,35,10,19,29,39,2
0,9,8,19,28,18,29,38,49,7,17,27,38
0,0,1,12,1,9,8,17,28,3,10,2,13
0,0,10,21,30,0,0,0,1,10,6,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,6,17,26,15,8,17,28,37,47,57,1
0,9,30,3,1,18,29,38,3,1,11,10,21
0,0,6,17,26,0,0,0,0,8,18,7,4
0,5,66,77,86,14,25,6,17,26,36,46,57
0,10,21,32,41,2,13,7,18,27,37,1,12
0,10,99,110,119,19,30,39,50,59,69,79,90
0,0,6,17,26,0,8,17,28,2,12,22,8
0,0,15,26,6,0,6,1,4,8,18,28,6
0,10,19,10,19,2,2,3,9,1,6,16,10
0,0,17,4,8,7,7,16,27,36,46,3,8
0,0,81,8,17,1,12,21,32,41,51,61,72
0,0,33,8,17,0,1,10,21,30,3,13,24
0,0,2,13,7,0,3,12,23,9,19,9,5
0,0,1,12,21,0,6,15,7,16,3,13,24
0,0,6,11,20,3,7,16,27,4,8,18,2
0,0,69,80,1,7,18,9,20,29,39,49,60
0,0,66,6,8,0,9,6,17,26,36,46,57
0,5,3,6,15,14,25,8,11,7,17,27,38
0,9,9,20,29,1,12,21,6,15,7,4,15
0,0,11,22,31,0,11,20,1,10,10,10,2
0,10,19,4,3,19,30,39,50,5,3,10,10
0,10,3,14,23,19,30,39,1,10,20,8,9
0,0,12,23,7,3,14,3,2,11,4,14,3
0,10,13,24,33,19,30,39,2,9,8,7,4
0,5,57,4,13,14,25,34,8,17,27,37,48
0,0,42,6,5,0,0,0,0,2,12,22,33
0,0,29,40,49,7,18,27,9,18,4,9,20
0,10,41,52,61,19,7,3,14,1,11,21,32
0,3,8,19,9,12,23,32,43,52,62,72,6
0,10,7,18,27,19,30,39,50,59,1,11,22
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,78,89,98,0,9,18,29,38,48,58,69
0,10,9,20,29,19,30,39,10,19,2,12,23
0,0,4,15,24,0,0,0,0,0,0,0,0
0,2,1,12,21,11,22,31,11,20,30,1,12
0,9,6,17,26,1,12,3,5,5,8,8,19
