id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxDegree,cigLimit
n0,false,0.27584755081859796,0.53994183018067,19,true,23,0.5733658764231976,0.3601459751929357,0.1561175602290319,10,70
n1,true,0.18750877276706224,0.5547814479585098,13,false,0,0.560831522684977,0.7765243499946839,0.5489447152889037,10,70
n2,true,0.4350103066499258,0.9192974425837576,12,true,11,0.17849200058984452,0.6866903269494946,0.5304872491200392,10,70
n3,false,0.17489445301942808,0.996163126558427,0,false,0,0.2672950802554824,0.18513432057055196,0.7481175002377868,10,70
n4,true,0.36769804176257415,0.7606324677389439,17,true,50,0.4773073789117349,0.192490796769753,0.5239065992448733,10,70
n7,true,0.347506669062675,0.8593056033927955,30,true,7,0.37869981903623184,0.5020498525745373,0.48502756439607275,10,70
n10,true,0.18856922074358,0.6361591687988966,24,true,33,0.7054598855962855,0.5902355968908309,0.8828627618641616,10,70
n12,false,0.5069115753565083,0.7393916141263827,20,true,14,0.19141251027016656,0.1998243429018992,0.8773465694422808,10,70
n15,false,0.48267804074156717,0.9940975358771692,0,false,0,1.754936855455724E-4,0.46288512205305227,0.8260165997267912,10,70
n16,false,0.36010259659610816,0.663823496719507,33,true,2,0.4230167064668708,0.6643698524205227,0.7124818454951767,10,70
n24,true,0.2165914741667228,0.4200803975825662,11,false,0,0.5844659505064106,0.7797576583907218,0.9866946640264873,10,70
n25,false,0.4889197060945064,0.6069155569980713,11,true,32,0.12792167472939617,0.5774014429810893,0.4357642887801343,10,70
n27,false,0.25523007558264216,0.420561401939038,53,true,1,0.6048050442591347,0.583750976527562,0.9575119077947164,10,70
n29,true,0.20175105922792247,0.2657541778210454,52,true,15,0.5001003370961864,0.25833056352712047,0.309062345302582,10,70
n30,true,0.0866749309392329,0.48430297493324204,12,false,0,0.40963277606130566,0.3240843399254081,0.7435054206991635,10,70
n31,false,0.5270753711295468,0.36269359077753416,33,true,1,0.2213659290131694,0.9209941853730161,0.9814183058804855,10,70
n36,false,0.16431115384428022,0.5125045091697816,20,true,14,0.7562541907120957,0.6897869874488162,0.7228574479176373,10,70
n37,true,0.14379839563482877,0.5558159835074012,67,true,9,0.7723184345923142,0.7195226584142178,0.8898426424665673,10,70
n40,true,0.09889957323814857,0.548972784508832,13,true,29,0.7618331654224159,0.5901932851333902,0.28323529162323074,10,70
n41,true,0.32475634305711076,0.4950920278838869,33,true,15,0.4711570154863577,0.6062695974386727,0.8684037423000905,10,70
n44,true,0.5375037313055917,0.7193805127130292,30,true,15,0.18727732072774575,0.2581900605988766,0.9019584332363013,10,70
n46,true,0.20399599550099182,0.7048699034358821,26,true,16,0.6839846883356953,0.49902604282894625,0.6973677215077791,10,70
n51,true,0.09645616489357259,0.7367553037835353,19,true,23,0.8705203883617613,0.4004568566037117,0.9295902731070189,10,70
n54,true,0.8140350717283847,0.6174737078677868,13,false,0,0.5687146380029439,0.7750286241157631,0.5145493859860106,10,70
n55,false,0.04455051292211215,0.9986027578869249,0,true,50,0.020647244261132833,0.5175579064877568,0.9749645917958573,10,70
n66,true,0.27769168823300583,0.619720118091109,31,true,9,0.5244805385110991,0.7617300945609582,0.5420269733874773,10,70
n69,true,0.3313024948587744,0.674150996343752,41,true,5,0.42713360672645245,0.8473353483063877,0.7074952303377814,10,70
n71,true,0.25215158448710784,0.855934158670709,18,true,50,0.2850530477604217,0.1274219000090005,0.9165107989111011,10,70
n73,false,0.3954690254510492,0.6064926225783648,20,true,5,0.37610780017423523,0.5947467963317095,0.45163742624083186,10,70
n75,true,0.9401309887944671,0.9009771974695577,36,true,50,0.4374452726915929,0.38334176670620895,0.5740046467556418,10,70
n77,true,0.038220065723864716,0.40126375160539,12,false,0,0.37133458089525206,0.3955448220498849,0.6506977914405796,10,70
n78,true,0.14027497536108743,0.4429002794335591,34,true,16,0.7909833154437304,0.501878883673659,0.5050012232694066,10,70
n80,true,0.0,0.5621575765290547,44,true,21,0.8809553497943498,0.14192182206319615,0.5556362662206666,10,70
n82,false,0.6748374428871201,0.9902083206293378,12,true,40,0.0988847564772007,0.1593153257325821,0.7278567090181495,10,70
n83,false,0.2918624200317286,0.6434992153159067,24,true,6,0.49733272479624285,0.5011811676677589,0.7857375844166274,10,70
n85,false,0.547169717395771,0.9550521097484705,0,false,0,0.7288715210858964,0.6081576739524662,0.4399524141434421,10,70
n86,true,0.28376410038113997,0.48710306348636323,29,true,14,0.6396192864658986,0.5441109159259849,0.995811788357576,10,70
n87,true,0.0240409641375046,0.6786567672025764,18,true,17,0.9479640382565949,0.4061988465024292,0.5134986051887065,10,70
n88,false,0.6863232670995665,0.8223733653924032,19,true,20,0.08084321436884677,0.9632702832036597,0.916264832924669,10,70
n90,false,0.24765516758403167,0.9965104317416867,13,true,45,0.5430644172921967,0.23416292579319303,0.555373482908206,10,70
n97,false,0.5610552437263323,0.9937102641206801,0,true,50,0.30176927120712416,0.8269301434863368,0.9070114291477749,10,70
n108,false,0.5230050409766962,0.7990427145749119,19,true,19,0.19781662846952955,0.22087009729630092,0.4844873787717475,10,70
n109,true,0.2824719686159682,0.5370367568736595,22,true,10,0.649500913933919,0.39758552785046436,0.6516719421607393,10,70
n111,true,0.35871497381743034,0.6586633047247511,19,true,33,0.5295935571699469,0.7316422459131917,0.7141480914554005,10,70
n119,true,0.4645428328304535,0.6893976498820539,20,true,25,0.3596507920105611,0.7319160159110433,0.6381176995682445,10,70
n120,true,0.6182653374954514,0.46355186432829326,14,true,28,0.2499974787395809,0.5072428104407257,0.5684416930398383,10,70
n123,false,0.6912110392183463,0.5156847726089411,12,true,5,0.3100259705940097,0.5691882687727653,0.941087372859745,10,70
n127,true,0.04721128772356087,0.43331766897244295,12,false,0,0.13643161261517195,0.45142485105653424,0.801958810345244,10,70
n128,true,0.019316144816232284,0.4523629134295534,12,false,0,0.44100100956412447,0.47419616933311787,0.7913742921145324,10,70
n130,false,0.22386321198192258,0.9703250320301458,13,true,34,0.6093549284896489,0.5984899685695323,0.6603868806713493,10,70
n135,false,0.281543138225001,0.9932485262399747,15,true,20,0.41340790209683675,0.7643025009224084,0.48202049070753844,10,70
n137,false,0.07439411023094666,0.993183679012134,12,true,35,0.9319461056957445,0.052450877533044504,0.8060335827203551,10,70
n139,true,0.14303430597079,0.6420674457447656,46,true,6,0.7085238878832179,0.7611631898601668,0.5135588978569678,10,70
n140,true,0.8782347651006186,0.6838552097148187,12,false,0,0.5977918421811039,0.6055151010250155,0.48074084719401394,10,70
n145,true,0.05761251192209077,0.5223679789869191,13,true,50,0.915376172579432,0.3107201542311968,0.6353239601008138,10,70
n146,true,0.0855717622179671,0.38526935126566564,13,true,44,0.8797911685208075,0.31381797588475346,0.552308744997122,10,70
n153,true,0.04971874873723863,0.5881877523504461,27,true,9,0.9150628891767464,0.3636295922132834,0.5227243553667813,10,70
n155,true,0.27259769594082545,0.5838664815769072,36,true,7,0.495611182032183,0.7192555353863447,0.1545275419074929,10,70
n158,true,0.3564826190901938,0.9146777487961251,32,true,8,0.37615504043674414,0.3865196767942487,0.8108987621969026,10,70
n161,true,0.18816550296792314,0.49022217375126975,68,true,35,0.3848970470723265,0.5860246352333639,0.7285633360047592,10,70
n162,true,0.508917008548668,0.5537583554164751,12,false,0,0.17980316491398962,0.001548383654003671,0.7239816468685634,10,70
n167,true,0.08755501422070383,0.5198226939017655,46,false,0,0.4997523277141128,0.3562378067624712,0.975541943541179,10,70
n170,true,0.11548636832067971,0.4743092201745669,14,false,0,0.26696708314398787,0.5451715873914289,0.9623002850025285,10,70
n171,true,0.3915200737357872,0.5687112998460796,13,false,0,0.037377110621304055,0.022151342678778607,0.5475929443078416,10,70
n172,false,0.34363582306883544,0.3990120049714968,26,true,6,0.34718631099454944,0.29003291098921036,0.5797566148133273,10,70
n185,true,0.07155280582698786,0.31799137400843513,31,true,50,0.09716511442003058,0.7488297824780363,0.7965952650522934,10,70
n187,true,0.21943198307099615,0.5593246755670102,12,false,0,0.4508690741718823,0.4242181373598685,0.8000973748260147,10,70
n188,true,0.4310498749483341,0.8701614357558249,37,true,24,0.36992032045665335,0.6416898104262215,0.83439748607577,10,70
n189,true,0.06505785711293655,0.2964412124426666,13,false,0,0.6198307069881555,0.32722838124035614,0.49168673810153574,10,70
n193,false,0.3396414330160295,0.83406102738371,18,true,13,0.45497097196108677,0.34364069947421816,0.7089742549541804,10,70
n194,false,0.17879884310284577,0.9937775269510264,32,true,22,0.6255966242159687,0.08729739708433354,0.5981600428195365,10,70
n195,false,0.1835102710248026,0.38721507759831153,12,true,21,0.6223580936933113,0.40208167027094777,0.7622628025310799,10,70
n198,false,0.5105778755152468,0.693427911335432,17,true,24,0.2985643340843616,0.06312736104732364,0.5065129509930033,10,70
n201,false,0.3606508672814382,0.5194908870849535,35,true,4,0.3518819770462366,0.07126258075117176,0.3656424731170865,10,70
n203,false,0.17981176745373018,0.5477084621905192,0,false,0,0.6572664989913007,0.035350822372884394,0.6383788229392793,10,70
n214,true,0.2716623086822472,0.6131007332267325,16,true,24,0.6787367651745372,0.07095508344062518,0.5604322123280439,10,70
n220,true,0.36641907568433396,0.7330761099108793,37,true,5,0.46298974259320497,0.7354012442616813,0.609573467778745,10,70
n221,true,0.1157747405895092,0.522397118449803,18,true,50,0.8313888531492292,0.6160886870930956,0.39628038656633013,10,70
n222,true,0.04253235088580163,0.6227822640642152,28,true,33,0.9007569471752815,0.4969955454443459,0.9104982745037021,10,70
n223,true,0.14710561042315262,0.4798185719014163,25,true,15,0.7695561932948505,0.7860272486661172,0.23673971778171565,10,70
n230,false,0.5344759879310049,0.9999803216703927,0,false,0,0.030377921634102543,0.5364678634247232,0.7262693357040408,10,70
n232,true,0.12157263300608329,0.42925365663591547,13,true,50,0.752091678237195,0.18708371712157712,0.7782706108773139,10,70
n240,true,0.24155795372369995,0.4290743706932469,55,true,18,0.36958561555694963,0.19818051692443145,0.5418123255370313,10,70
n245,false,0.31225257585469207,0.5888220465374595,12,true,32,8.166734913248551E-4,0.8329401508352043,0.6746768813120603,10,70
n248,true,0.37368014865511096,0.6543741770132475,19,true,26,0.47481806703792745,0.18996226613569767,0.46873514257193105,10,70
n249,true,0.4772129906472414,0.8088415326239559,30,true,18,0.25457982160246906,0.6875055288268442,0.7384206564471328,10,70
n258,true,0.2923982778720479,0.45672751863320793,55,true,9,0.5419523104515164,0.8587806648700935,0.3374167005786228,10,70
n261,true,0.06058956343033506,0.3689637267663319,11,false,0,0.8379302504787896,0.6993914464524493,0.8429148661320407,10,70
n265,true,0.008196341509511262,0.38421265744690747,13,false,0,0.31807659150435114,0.43998908981656004,0.7908483684107874,10,70
n266,false,0.11419842247476902,0.9280951991061974,0,false,0,0.6560383042391432,0.04447145474189057,0.6950846859758676,10,70
n268,true,0.40367161324640094,0.4644398597090049,14,true,26,0.5697675163641752,0.507851730231426,0.43593825018684806,10,70
n270,false,0.5197652279814081,0.9528942499795889,46,true,3,0.1856035368716018,0.1603607836317988,0.6970107210608277,10,70
n271,false,0.8945234798563328,0.9936853185368837,0,false,0,0.44307929126767615,0.6147248235675196,0.5606533111419768,10,70
n272,true,0.39202281722298876,0.5230724664072663,29,true,28,0.4433658020431636,0.8377273161459837,0.9814190908000242,10,70
n278,true,0.016050303633533936,0.5306613453399641,12,true,50,0.8913227192060299,0.48221825665180457,0.5724015403617322,10,70
n280,true,0.2928992546316239,0.47625843053114647,30,true,4,0.5754908014280374,0.7656423769946483,0.42360997248786003,10,70
