id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,true,1.4486407108293964E-4,0.06690554973890395,50,true,24,1.0047178256031137,0.6152986089983369,0.40523617252740374,10,10,70
n1,false,0.322211041237982,0.3443843605168349,61,true,5,0.5649678197718138,0.7544440358857036,0.28375341222340245,10,10,70
n2,false,0.08337527398280008,0.20223277095128536,61,true,1,0.8263015125358332,0.041916624317980655,0.9579381700982283,10,10,70
n3,true,0.3512986646380023,0.49739256315444863,49,true,25,0.299789936249716,0.5097914573322336,0.5126437838044546,10,10,70
n4,false,0.4733516994987215,0.639104640124835,62,true,1,0.32941842571014457,0.9898354812097363,0.673005369265226,10,10,70
n7,true,0.1925093099765401,0.6655744280991616,32,true,41,0.3769726531560184,0.12792366531823757,0.2843718392996571,10,10,70
n8,false,0.4128111793524628,0.6087352665610496,62,true,3,0.45048471397020384,0.7862702710218271,0.7637846811230801,10,10,70
n9,true,0.13082368595529997,0.19440392780339155,13,true,50,0.760826647549776,0.6219106840106566,0.7306846249440265,10,10,70
n11,false,0.7257028437135369,0.990746251535971,0,false,0,0.10266565920554933,0.3355414183009636,0.7053512570968609,10,10,70
n16,false,0.2670268663410164,0.3112539886078321,12,true,10,0.5191456412730177,0.17749601926133735,0.790206554825811,10,10,70
n19,true,0.04035930396653631,0.11200629904036404,41,true,65,0.8833246132298938,0.2718379110800876,0.8833472675525831,10,10,70
n28,true,0.3244908290866799,0.6677134146217142,49,true,12,0.3513690087991066,0.37211595410433734,0.7956561461354233,10,10,70
n29,true,0.14024209851184355,0.5793585899800946,50,true,25,0.5856770853612424,0.30060947779809577,0.799034402036365,10,10,70
n32,false,0.46950449627498064,0.9938270923552711,58,true,206,0.5550849102445833,0.9846896393329483,0.6117385726146283,10,10,70
n35,false,0.4833074928255287,0.9906937005658528,50,true,270,0.2966427301907204,0.6122706730153082,0.6178913147762618,10,10,70
n36,true,0.10270710595633854,0.4444189019116477,60,true,31,0.6872330565642601,0.1431577921752425,0.44528655553387064,10,10,70
n37,true,0.26239028221406446,0.6144979244189558,12,true,72,0.42096391287975216,0.023604327534633374,0.9490724792179376,10,10,70
n38,false,0.34298363908073765,0.6246560503146182,66,true,1,0.4610257100159837,0.6448502197953897,0.8707856752556773,10,10,70
n42,true,0.025820017079462538,0.02572278394086573,39,true,215,0.9603087044064254,0.23207053591546772,0.37977129100813367,10,10,70
