id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,true,0.18790393484703358,0.39770411870222255,52,true,2,0.5714245962555751,0.35179282869891404,0.3137502029708105,10,10,70
n1,false,0.1792944752985213,0.9963014955999666,12,true,304,0.5042152786817199,0.6576956432698503,0.7790466882185748,10,10,70
n2,true,0.04608474859080415,0.39441929030163136,12,true,20,0.6848949186950409,0.2897042764592115,0.08385111359433461,10,10,70
n3,false,0.17196018822872686,0.7416996861162483,12,true,15,0.3819517502274731,0.5698443828908497,0.7847956145077855,10,10,70
n6,false,0.2581991843363308,0.560060744853745,48,true,13,0.5112130979619233,0.5720608329886051,0.9432259779761604,10,10,70
n7,false,0.26086595493839637,0.9951089003509255,11,true,376,0.6957455874061188,0.5781651588205228,0.6159236791706676,10,10,70
n10,false,0.0,0.9971975927231593,68,true,353,0.810744917106432,0.441414318122126,0.26778140167051895,10,10,70
n12,true,0.04672053627999155,0.12108838852060642,12,true,15,0.9261714629215764,0.38433041493676934,0.994347000273657,10,10,70
n13,true,0.29835997113778934,0.6865554320769094,62,true,21,0.3041302566152759,0.8535170628860118,0.45692110582250967,10,10,70
n14,false,0.07158812979434759,0.5680965632747556,11,true,25,0.5843211413204924,0.4840764299277884,0.5148170726518162,10,10,70
n15,true,0.03312284602351112,0.01717120154084622,12,false,0,0.9949293612758265,0.08482827088292699,0.29796672160002013,10,10,70
n16,true,0.2317537008656892,0.8771310282403949,12,true,38,0.19306073830941423,0.6243224267234246,0.6041366501893312,10,10,70
n17,true,0.08667847706728397,0.5931473317008985,62,true,16,0.7139195854366468,0.5256097069487539,0.5195176422071042,10,10,70
n19,false,0.18834199631006326,0.9980857973334896,24,true,344,0.8782069213559446,0.4723135736199274,0.5370688467722563,10,10,70
n21,true,0.24060337624793665,0.5465122248403718,55,true,15,0.4955138107806884,0.15581582980147934,0.9747147726375545,10,10,70
n23,true,0.0,0.7356472277672339,12,true,12,0.5581544370941693,0.1614534817254053,0.9239047439183581,10,10,70
n26,false,0.1442740196954948,0.9995899220029569,12,true,212,0.9675616857722594,0.9257106700767039,0.5195437847504979,10,10,70
n27,false,0.10986389472395466,0.39918256844660605,69,true,32,0.7103926247607286,0.1309894715961073,0.6724819693626816,10,10,70
n31,true,0.09518373354587462,0.01912330459033616,12,false,0,0.9004147072938931,0.867910840842915,0.9869101837514325,10,10,70
n32,true,0.43584031858156175,0.4953512970127121,24,true,64,0.2766238797710353,0.361973111820204,0.39725384621055615,10,10,70
n33,false,0.42057826246822494,0.5769559932469682,55,true,27,0.37885098744612405,0.28835245730092296,0.7592801441833575,10,10,70
n47,false,0.8972823112239781,0.9952130498430837,32,true,348,0.14530150886970308,0.7956170986895756,0.4068366719880556,10,10,70
n48,true,0.5915138347682329,0.023087698885135424,12,false,0,0.41031388903840327,0.1211623514776698,0.36855550688053956,10,10,70
n57,false,0.14272564953540492,0.9973744922057806,43,true,76,0.5394179313525242,0.22235855470358679,0.7930035046700659,10,10,70
n60,false,0.0,0.8512971351380255,47,true,172,0.590608556926049,0.3879334197429633,0.4084483080655505,10,10,70
n63,true,0.2770268161651148,0.7527709206175338,12,true,9,0.5172664600106737,0.8454584942898764,0.7530766167079266,10,10,70
n64,true,0.33687740419951884,0.6257528289531638,11,true,31,0.414173120615492,0.5827102207858595,0.7001790080831253,10,10,70
n67,false,0.022667101711920434,0.9959847186902945,0,false,0,0.5507065361683268,0.2782911787298923,0.5996693374095357,10,10,70
n71,true,0.8202274194191335,0.017036315381188976,13,false,0,0.3392041240616891,0.6698135956764979,0.7536323752721391,10,10,70
n78,false,0.6484652989393277,0.9908447186927473,17,true,374,0.1965459643291458,0.6162676601457423,0.45510733003319737,10,10,70
n79,false,0.11484879396650965,0.17029389676419837,43,true,23,0.7580776531065927,0.7223428393761139,0.3970394190182467,10,10,70
n83,false,0.9205892084083267,0.9945468979181376,11,true,383,0.11633144490663477,0.49911075546257644,0.1421606347749994,10,10,70
n84,false,0.73839735429084,0.9988549424526518,0,true,390,0.4688868745362365,0.7402702223381492,0.9440283575829727,10,10,70
n85,false,0.20134836126167108,0.5637191293774177,67,true,7,0.5430219327358091,0.7758076260436706,0.8088424281675619,10,10,70
n86,true,0.5505745244587605,0.015501881756557936,12,false,0,0.3559930566898836,0.6368480973990779,0.8682943370671746,10,10,70
n91,false,0.1654164317525818,0.993089401823735,61,true,313,0.9140433170674808,0.875694053731439,0.8434474137925033,10,10,70
n96,false,0.6933776761050333,0.9995400069368505,0,true,390,0.0064552623957074996,0.8134030047290588,0.4940421510194676,10,10,70
n102,true,0.25162474980144467,0.2574922587661327,12,true,67,0.4257074293188938,0.23488476073720627,0.649297834681258,10,10,70
n106,false,0.5272494159337967,0.9917395778944004,12,true,144,0.1804315264272822,0.8683949430788136,0.9770919323691594,10,10,70
n111,true,0.18400787324783943,0.8143547793052065,12,true,19,0.3909144053866625,0.7173977430806232,0.5688734788009673,10,10,70
n113,true,0.5963740331489407,0.5954578832046169,12,true,5,0.4032223408842082,0.2819641546815121,0.3567270059940405,10,10,70
n114,true,0.8422176373822001,0.01149750300810829,11,false,0,0.7816081075567185,0.9804650938426113,0.5528374813152007,10,10,70
n117,false,0.06492319359933653,0.9973212560171422,30,true,329,1.2302674188669342,0.6133106341324527,0.5010930243577976,10,10,70
n118,true,0.1527163042395322,0.6725010265551831,67,true,7,0.5429347883717222,0.5292421226711266,0.9138936312779053,10,10,70
n122,true,0.5308215118425419,0.03687112982044373,12,true,305,0.4710575480001809,0.8263037904109011,0.8271623564936543,10,10,70
n128,true,0.36163520916627667,0.019384687049009235,12,false,0,0.423122089340202,0.6561720374338001,0.7002947887080608,10,10,70
n129,false,0.4824835017254797,0.9994457902164949,11,true,215,0.4417554215243968,0.7234256534562271,0.9694547389433343,10,10,70
