id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,false,0.2509761439993625,0.48435978268055985,12,false,0,1,0.528829407975016,0.26444851335458397,0.4450878813640151,10,10,70
n1,true,0.14747070869154322,0.2522023652830115,12,false,0,0,0.24486701391518495,0.6450898821779574,0.219915457707192,10,10,70
n2,false,0.3174513824810242,0.5079873485698124,12,false,0,1,0.4367245789064777,0.3605542990917291,0.8972759475418117,10,10,70
n3,true,0.007362966698040152,0.386116313892255,17,false,0,0,0.5348820294224614,0.8139950712959705,0.07595471670217813,10,10,70
n4,false,0.28704431845017175,0.46832783035315995,11,false,0,1,0.3481950000237275,0.2742215824632872,0.840575071327416,10,10,70
n6,false,0.08224564123766523,0.8148892478569901,13,false,0,1,0.9295827356159101,0.8172104101602817,0.7929599181749184,10,10,70
n9,false,0.2010077778440445,0.3699485317543428,11,false,0,1,0.7757777006674745,0.11734969515403665,0.36557837127056514,10,10,70
n10,false,0.25032397749323654,0.5120402352700539,12,false,0,1,0.6720465738898009,0.6506536049662636,0.4620361204540254,10,10,70
n12,false,0.8729022467302371,0.5233302626787859,0,false,0,0,0.09379432941550389,0.0018247286134043805,0.5597288968719627,10,10,70
n13,false,0.6044320591580369,0.7862165487032471,10,false,0,1,0.03640429479766367,0.8978677128087292,0.05722521380729462,10,10,70
n15,false,0.37685849052556764,0.6446450998713475,13,false,0,1,0.41086558392825956,0.9979874738946077,0.8952486235541306,10,10,70
n19,false,0.5755597955011993,0.9657892641637443,0,false,0,0,0.027974074228790592,0.2980474981321732,0.8345130043941151,10,10,70
n23,true,0.30812458616394534,0.23224584379960375,12,false,0,0,0.7349931456656542,0.9301531403341571,0.6071228680604048,10,10,70
n26,false,0.11425387025532845,0.6230304443080147,12,false,0,1,0.9394090013852116,0.812455796472062,0.5069426793701881,10,10,70
n29,true,0.026885509061737034,0.22890066863347897,14,false,0,0,0.5402437750472555,0.7778786568638008,0.7207749337085737,10,10,70
n35,false,0.09416343844601593,0.9994216813775408,0,false,0,0,0.07749466052835594,0.5046750844216065,0.36943808839464876,10,10,70
n36,true,0.46689100308268733,0.34553041313220384,19,false,0,0,0.4970019386188537,0.45092846477637527,0.47494003247339733,10,10,70
n37,false,0.4947200430353176,0.4028891007174271,12,false,0,1,0.23728623177563027,0.31545217461466657,0.9176479534733712,10,10,70
n39,false,0.08735407136147813,0.44147221321806634,12,true,7,1,0.6544969886185672,0.17605711384654144,0.8741847330930175,10,10,70
n45,false,0.3567987652833171,0.38231637214529157,12,false,0,1,0.6138964996888778,0.6840287536051073,0.5195569796655163,10,10,70
n46,false,0.21806712844454973,0.326063835580927,12,true,49,1,0.4771851302361038,0.4647018350985956,0.8787689766806486,10,10,70
n47,false,0.37927264688039347,0.5234758079543922,14,false,0,1,0.3017262362650122,0.9741790013246413,0.9147152123803776,10,10,70
n49,true,0.23076150017297847,0.306250834798614,18,false,0,0,0.3272672885316281,0.9146686945715459,0.863332926291588,10,10,70
n51,true,0.1443420499721373,0.31468926517733264,12,false,0,0,0.6219211632363569,0.2911770772002791,0.9598607358584166,10,10,70
n52,false,0.10016033046355217,0.6392194982179404,11,false,0,1,0.9314815180782303,0.4294087822527641,0.708859716393244,10,10,70
n58,true,0.08288070538182779,0.44028751239730185,15,false,0,0,0.7272667210177701,0.9043314253494787,0.7601824542617892,10,10,70
n59,false,0.33308948138121974,0.6896988045808382,0,false,0,0,0.660045300744017,0.10714570383372296,0.7381795607166244,10,10,70
n64,true,0.013183680193876834,0.2884949576611072,12,false,0,0,0.2614899722221703,0.7641894076480862,0.5418666380998519,10,10,70
n67,false,0.35586890723081016,0.3428773428877588,12,true,29,1,0.021966743945911714,0.6773547014336847,0.7511076302345607,10,10,70
n68,false,0.11100200359990828,0.5980417859506143,14,false,0,1,0.8950063745638678,0.9546624027244608,0.9862876073582021,10,10,70
n69,false,0.28667806785401906,0.4443696926878075,12,true,45,1,0.4458255082714651,0.7248927556186822,0.6335859706586742,10,10,70
n71,false,0.1397924345345412,0.3820869472844168,12,false,0,1,0.68590826257694,0.5075093802227116,0.8363772244808029,10,10,70
n72,false,0.23457346985683225,0.317984026421095,27,false,0,1,0.4365011105473949,0.5747811097652039,0.8469634725853292,10,10,70
n74,false,0.10185887040491612,0.5799216506854361,12,false,0,1,0.8862011445655428,0.5289400558021241,0.6788876601211308,10,10,70
n78,true,0.12154651870974464,0.1600703855576257,13,false,0,0,0.2258361918839898,0.37497491105055025,0.7734101928362666,10,10,70
n79,false,0.22981757218901613,0.5928903398196047,13,false,0,1,0.757344074937183,0.5462446347812004,0.665956948103032,10,10,70
n81,false,0.24692680980960002,0.7725842263730663,21,false,0,1,0.6234557839873662,0.721056923311649,0.6280536178651954,10,10,70
n82,false,0.2592231453778662,0.8410520667191924,12,false,0,1,0.7621111669343263,0.9106629549361349,0.4020031721611733,10,10,70
n83,false,0.7615932393434792,0.9226693042546467,0,false,0,0,0.5473987801474642,0.7390551168391102,0.868974993855191,10,10,70
n85,false,0.24396366654879267,0.5889562219115343,13,false,0,1,0.6664332914416837,0.5785538716718274,0.9154262457538457,10,10,70
n90,false,0.3523323185298852,0.5682993575592432,15,false,0,1,0.4374159165495662,0.5219947717666773,0.5711136415716164,10,10,70
n93,true,0.4839909705366099,0.3048476893425496,12,false,0,0,0.45097607170696485,0.8197040163127012,0.3229522084554141,10,10,70
n97,true,0.3679366783925168,0.48660421711284085,22,false,0,0,0.7043123675021753,0.5680600512211526,0.12407681276434118,10,10,70
n98,false,0.12341248371007017,0.8513964457971793,18,false,0,1,0.8916870935223107,0.6644852762916319,0.4898919017265134,10,10,70
n99,true,0.20456465955637143,0.2623140511219264,13,false,0,0,0.2979643236552203,0.32755755519792396,0.2466145981396456,10,10,70
n101,true,0.5256252171588489,0.28099478360280283,13,false,0,0,0.5713281795027747,0.3044753011483482,0.4819985926331248,10,10,70
n104,false,0.17047980855938405,0.4219282630513496,12,false,0,1,0.8702540816369857,0.5498736890627411,0.7304395123141707,10,10,70
n106,false,0.221247747435957,0.5963745068225592,13,false,0,1,0.7652182523177634,0.09694234401408336,0.21054606519202523,10,10,70
n108,false,0.12572304532944867,0.5604384080246239,22,true,48,1,0.6033736574312792,0.9521523770652692,0.57545959427789,10,10,70
n109,true,0.8414652449129555,0.08031800579819987,10,false,0,0,0.6475046204579276,0.531674708322227,0.979370823659142,10,10,70
n110,false,0.538154717385967,0.9025695843752093,15,false,0,1,0.08473895447534537,0.6786102302703196,0.7440791260259967,10,10,70
n112,false,0.4316802736466693,0.2831345679883111,12,false,0,1,0.42262741730618186,0.4665071138684465,0.5891533792028143,10,10,70
n113,false,0.29577927721511643,0.6610259643003891,12,false,0,1,0.5409684155606862,0.16786057127592846,0.6472497122110819,10,10,70
n114,false,0.21558367254987704,0.3372020993768175,12,true,49,1,0.596788215764279,0.17662934957908377,0.2756575275402212,10,10,70
n115,false,0.06506121719973186,0.28810706082083093,11,false,0,1,0.9506749144305625,0.1344927655631722,0.5237067581714819,10,10,70
n117,false,0.031093927431336068,0.4257300990017551,12,true,49,1,0.907783259159901,0.6813662949534371,0.768552444625526,10,10,70
n121,false,0.16872466797439697,0.6511606472789275,52,false,0,1,0.16620751622485763,0.34134659318746374,0.7592657863730822,10,10,70
n124,false,0.24818147657857625,0.35626306403549307,12,true,47,1,0.4159654146184653,0.3850170935386954,0.9101305824456051,10,10,70
n127,false,0.10039305797988701,0.7555276253864184,13,false,0,1,0.6482431491287967,0.3859151062066043,0.8086141808077997,10,10,70
n130,false,0.1411802236666746,0.6314683049603006,12,false,0,1,0.8648054459649592,0.19307895926783297,0.5458505287557109,10,10,70
n136,false,0.42354748883249294,0.5864697187543912,13,false,0,1,0.3688406810852028,0.7824489380688562,0.4609477386316378,10,10,70
n137,false,0.12069907016979495,0.508051157245056,12,false,0,1,0.8326521575298726,0.4502076488342208,0.7778141439083079,10,10,70
n139,false,0.10443449011280401,0.6558175333301682,53,false,0,1,0.6176309469325306,0.48664993256480454,0.8512187503031523,10,10,70
n141,false,0.05072642145496413,0.33380430194312144,13,true,11,1,0.44644940119078547,0.4510839866503897,0.8608105690972766,10,10,70
n148,false,0.011556884162022829,0.6210847330756188,14,false,0,1,1.064465381840701,0.6361931251680174,0.6299370951628419,10,10,70
n150,false,0.02288723394991259,0.30746840287568367,11,true,24,1,0.9623641538907817,0.7534733635228068,0.7035212465165157,10,10,70
n151,true,0.3381522819936373,0.35025223274654843,12,false,0,0,0.8029019195159154,0.6273779919399206,0.4226321701482397,10,10,70
n153,false,0.4650777476090001,0.7065549445948551,0,false,0,0,0.028578523720807134,0.8168859297342681,0.42343227646712445,10,10,70
n154,true,0.01873682896574136,0.5147136118016123,17,false,0,0,0.746593585352179,0.9437952589948229,0.9811283071950951,10,10,70
n157,false,0.1280688545021277,0.4415228549447115,14,false,0,1,0.7543276303498229,0.1682369440485723,0.7510697078820116,10,10,70
n158,false,0.14186776479773194,0.815690257636737,15,false,0,1,0.7955208089841336,0.5196611601330423,0.8835703650000867,10,10,70
n161,false,0.5848794534012454,0.5266242218652527,0,false,0,0,0.14682662876519914,0.29957740263750554,0.9050095587403939,10,10,70
n163,true,0.10583698368478334,0.25041937327507013,11,false,0,0,0.2140690776486167,0.7745028077314209,0.15869644037489644,10,10,70
n167,false,0.11404532847478044,0.3922796132086192,12,true,40,1,0.6444880365622611,0.5362457087422731,0.6238976391553575,10,10,70
n168,false,0.29587911067429673,0.5626564171883128,13,false,0,1,0.5124366577987212,0.5176465582814251,0.5194599134568705,10,10,70
n170,false,0.0936506507903323,0.5144149356466382,12,false,0,1,0.8707247921030367,0.5123808679206453,0.9111360767679508,10,10,70
n172,false,0.36754346623299916,0.899785643084098,35,false,0,1,0.2872523943468551,0.462923950787652,0.8071011366034051,10,10,70
n174,false,0.1412556499751283,0.26543252931507894,13,true,33,1,0.44911459891080135,0.47356526035185176,0.7954005562218402,10,10,70
n176,false,0.7085050092417163,0.6858090388627358,12,false,0,1,1.089433617058218,0.18767149599132282,0.8117237950892882,10,10,70
n178,false,0.14892371512578692,0.33550294147077664,12,false,0,1,0.6709846214562794,0.3511241204752865,0.9109360853305051,10,10,70
n183,true,0.10927054198263592,0.23399516785769572,14,false,0,0,0.5753104580692182,0.6243164701286881,0.2667815776694297,10,10,70
n186,true,0.18504638082509867,0.2961405813692417,12,false,0,0,0.6963187970380184,0.8322372627325556,0.8676621105005713,10,10,70
n187,false,0.018516617131071368,0.38823603271063256,12,true,40,1,0.9819922515213153,0.6634012172696209,0.996479824120139,10,10,70
n192,false,0.45975173966380023,0.41847159062523176,12,true,26,1,0.43607166026997823,0.6230575052274763,0.15705770993806306,10,10,70
n195,false,0.1531829411296818,0.38646374359615926,12,true,48,1,0.8072714325957927,0.4048208461613126,0.661759117331954,10,10,70
n197,false,0.21133707912449998,0.7821570153981098,35,true,42,1,0.3262539839123102,0.9572613194559201,0.6123248704876079,10,10,70
n198,true,0.01862339956161463,0.16351266712745002,12,false,0,0,0.3478973685911496,0.4880378096100832,0.7669975215468358,10,10,70
n200,false,0.1352752426231666,0.3657587755980272,13,false,0,1,0.6628191447044502,0.4675645738558733,0.43390604704034935,10,10,70
n202,true,0.40798408299889133,0.41008952652709624,29,false,0,0,0.42073026069466546,0.7697297971767394,0.8071594740462449,10,10,70
n205,false,0.45489558315368395,0.37920805688316156,13,false,0,1,0.30339444792789577,0.09420446827108736,0.5656072576613492,10,10,70
n207,false,0.20947783139228937,0.5553969339760655,22,false,0,1,0.5072620892267875,0.9033722363768695,0.34576316662700657,10,10,70
n209,true,0.08010161576465752,0.2636160175282025,12,false,0,0,0.18215657338581842,0.8014179065507346,0.7979024316103456,10,10,70
n212,false,0.25907562781547994,0.48793936423349776,59,true,10,1,0.486202770159227,0.6929848969566401,0.45666288107939224,10,10,70
n213,true,0.06262721527958293,0.24316206186729603,12,false,0,0,0.3167115244812542,0.7318173329908116,0.46801843104195817,10,10,70
n214,false,0.3455432638284709,0.6901262465697279,13,false,0,1,0.6068085225466737,0.5392188136205975,0.5782064854281296,10,10,70
n221,false,0.2037742046527303,0.29793087742242624,12,true,24,1,0.48112116467352006,0.6540143594395291,0.7147341521778727,10,10,70
n223,false,0.24723443602241846,0.5163777444423987,18,false,0,1,0.5383872711709876,0.30966003520803365,0.8926495491722207,10,10,70
