rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n0,true,0.8149425904683112,0.746446853383712,8,11352,false,0,1,0.4980477120012749,0.4450878813640151,null
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n1,false,0.15248395902113113,0.7542458758323816,0,1096,false,500,2,0.24486701391518495,0.219915457707192,null
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n2,true,0.6229156246617318,0.8003528173131926,11,15932,false,0,1,0.4121270694795848,0.8972759475418117,null
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n3,false,0.00819203550177612,0.734053548110419,0,20899,false,0,0,0.5144337102074323,0.07595471670217813,null
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n4,false,0.8581311458710315,0.7797815630082817,0,384,false,501,3,0.3302299236162659,0.840575071327416,null
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n6,false,0.5530686410777033,0.8436641981430812,0,20396,false,500,1,0.8462237315786152,0.7929599181749184,null
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n9,false,0.5054437610540159,0.3467547303406848,0,20899,false,0,0,0.6984883332339332,0.36557837127056514,null
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n10,false,0.4348031672144507,0.6052875139547479,0,2852,false,501,4,0.6179265606682179,0.4620361204540254,null
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n12,false,0.8883834720823319,0.46931172469547855,0,846,false,502,6,0.08411280914527236,0.5597288968719627,null
697927,3398277,66295,604470,27162,10852,55443,354305,250165,10165,16997,10144,708,14493,40950,71131,0,148859,101306,1814,8351,4166,12831,78460,3319817,11094,66794,572,5586,5508,4083,1503,5004,504,66757,37,24491,42266,37,0,0,572,0,0,572,0,1491279,1828538,512907,978372,860729,967809,n13,false,0.8324792860398196,0.770227106546004,0,789,false,503,8,0.032908705347140965,0.05722521380729462,null
