nullrtA1a1b0,rtA1a1b1,rtA1a1b2,rtA1a1b3,rtA1a1b4,rtA1a1b5,rtA1a1b6,rtA1a1b7,rtA1a1b8,rtA1a1b9,rtA1a1b10,rtA1a1b11,rtA1a1b12,rtA1a1b13,rtA1a1b14,rtA1a1b15,rtA1a1b16,rtA1a1b17,rtA1a1b18,rtA1a1b19,rtA1a1b20,rtA1a1b21,rtA1a1b22,rtA1a1b23,rtA1a1b24,rtA1a1b25,rtA1a1b26,rtA1a1b27,rtA1a1b28,rtA1a1b29,rtA1a1b30,rtA1a1b31,rtA1a1b32,rtA1a1b33,rtA1a1b34,rtA1a1b35,rtA1a1b36,rtA1a1b37,rtA1a1b38,rtA1a1b39,rtA1a1b40,rtA1a1b41,rtA1a1b42,rtA1a1b43,rtA1a1b44,rtA1a1b45,rtA1a1b46,rtA1a1b47,rtA1a1b48,rtA1a1b49,rtA1a1b50,rtA1a1b51,rtA1a1b52,rtA1a1b53,rtA1a1b54,rtA1a1b55,rtA1a1b56,rtA1a1b57,rtA1a1b58,rtA1a1b59,rtA1a1b60,rtA1a1b61,rtA1a1b62,rtA1a1b63,rtA1a1b64,rtA1a1b65,rtA1a1b66,rtA1a1b67,rtA1a1b68,rtA1a1b69,rtA1a1b70,rtA1a1b71,rtA1a1b72,rtA1a1b73,rtA1a1b74,rtA1a1b75,rtA1a1b76,rtA1a1b77,rtA1a1b78,rtA1a1b79,rtA1a1b80,rtA1a1b81,rtA1a1b82,rtA1a1b83,rtA1a1b84,rtA1a1b85,rtA1a1b86,rtA1a1b87,rtA1a1b88,rtA1a1b89,rtA1a1b90,rtA1a1b91,rtA1a1b92,rtA1a1b93,rtA1a1b94,rtA1a1b95,rtA1a1b96,rtA1a1b97,rtA1a1b98,rtA1a1b99,rtA1a1b100,rtA1a1b101,rtA1a1b102,rtA1a1b103,rtA1a1b104,rtA1a1b105,rtA1a1b106,rtA1a1b107,rtA1a1b108,rtA1a1b109,rtA1a1b110,rtA1a1b111,rtA1a1b112,rtA1a1b113,rtA1a1b114,rtA1a1b115,rtA1a1b116,rtA1a1b117,rtA1a1b118,rtA1a1b119,rtA1a1b120,rtA1a1b121,rtA1a1b122,rtA1a1b123,rtA1a1b124,rtA1a1b125,rtA1a1b126,rtA1a1b127,rtA1a1b128,rtA1a1b129,rtA1a1b130,rtA1a1b131,rtA1a1b132,rtA1a1b133,rtA1a1b134,rtA1a1b135,rtA1a1b136,rtA1a1b137,rtA1a1b138,rtA1a1b139,rtA1a1b140,rtA1a1b141,rtA1a1b142,rtA1a1b143,rtA1a1b144,rtA1a1b145,rtA1a1b146,rtA1a1b147,rtA1a1b148,rtA1a1b149,rtA1a1b150,rtA1a1b151,rtA1a1b152,rtA1a1b153,rtA1a1b154,rtA1a1b155,rtA1a1b156,rtA1a1b157,rtA1a1b158,rtA1a1b159,rtA1a1b160,rtA1a1b161,rtA1a1b162,rtA1a1b163,rtA1a1b164,rtA1a1b165,rtA1a1b166,rtA1a1b167,rtA1a1b168,rtA1a1b169,rtA1a1b170,rtA1a1b171,rtA1a1b172,rtA1a1b173,rtA1a1b174,rtA1a1b175,rtA1a1b176,rtA1a1b177,rtA1a1b178,rtA1a1b179,rtA1a1b180,rtA1a1b181,rtA1a1b182,rtA1a1b183,rtA1a1b184,rtA1a1b185,rtA1a1b186,rtA1a1b187,rtA1a1b188,rtA1a1b189,rtA1a1b190,rtA1a1b191,rtA1a1b192,rtA1a1b193,rtA1a1b194,rtA1a1b195,rtA1a1b196,rtA1a1b197,rtA1a1b198,rtA1a1b199,rtA1a1b200,rtA1a1b201,rtA1a1b202,rtA1a1b203,rtA1a1b204,rtA1a1b205,rtA1a1b206,rtA1a1b207,rtA1a1b208,rtA1a1b209,rtA1a1b210,rtA1a1b211,rtA1a1b212,rtA1a1b213,rtA1a1b214,rtA1a1b215,rtA1a1b216,rtA1a1b217,rtA1a1b218,rtA1a1b219,rtA1a1b220,rtA1a1b221,rtA1a1b222,rtA1a1b223,rtA1a1b224,rtA1a1b225,rtA1a1b226,rtA1a1b227,rtA1a1b228,rtA1a1b229,rtA1a1b230,rtA1a1b231,rtA1a1b232,rtA1a1b233,rtA1a1b234,rtA1a1b235,rtA1a1b236,rtA1a1b237,rtA1a1b238,rtA1a1b239,rtA1a1b240,rtA1a1b241,rtA1a1b242,rtA1a1b243,rtA1a1b244,rtA1a1b245,rtA1a1b246,rtA1a1b247,rtA1a1b248,rtA1a1b249,rtA1a1b250,rtA1a1b251,rtA1a1b252,rtA1a1b253,rtA1a1b254,rtA1a1b255,rtA1a1b256,rtA1a1b257,rtA1a1b258,rtA1a1b259,rtA1a1b260,rtA1a1b261,rtA1a1b262,rtA1a1b263,rtA1a1b264,rtA1a1b265,rtA1a1b266,rtA1a1b267,rtA1a1b268,rtA1a1b269,rtA1a1b270,rtA1a1b271,rtA1a1b272,rtA1a1b273,rtA1a1b274,rtA1a1b275,rtA1a1b276,rtA1a1b277,rtA1a1b278,rtA1a1b279,rtA1a1b280,rtA1a1b281,rtA1a1b282,rtA1a1b283,rtA1a1b284,rtA1a1b285,rtA1a1b286,rtA1a1b287,rtA1a1b288,rtA1a1b289,rtA1a1b290,rtA1a1b291,rtA1a1b292,rtA1a1b293,rtA1a1b294,rtA1a1b295,rtA1a1b296,rtA1a1b297,rtA1a1b298,rtA1a1b299,rtA1a1b300
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
0,0,15,94,96,96,98,98,98,98,98,98,98,15,101,101,101,103,103,103,103,108,108,108,15,108,108,108,110,111,111,111,111,111,111,15,111,111,111,111,121,125,125,126,127,127,15,133,177,177,177,177,177,177,177,177,178,15,178,179,179,179,179,179,193,194,194,196,15,196,198,205,205,205,208,208,209,209,209,15,219,223,225,226,226,226,233,233,234,234,15,234,237,237,237,237,237,251,254,254,254,15,254,284,445,557,600,600,600,600,600,600,11,15,600,648,671,671,676,677,702,702,702,708,15,709,710,714,714,719,722,722,722,727,818,15,818,818,818,893,994,1095,1195,1294,1395,1648,15,1900,2150,2316,2467,2641,2933,2953,2958,2958,2958,15,2958,2960,2960,2960,2962,2963,2963,2966,2966,2966,16,2967,2968,2968,2995,3096,3197,3214,3214,3214,3216,16,3219,3219,3219,3219,3220,3221,3221,3234,3234,3235,16,3235,3238,3238,3239,3242,3242,3242,3246,3246,3247,16,3247,3262,3262,3262,3266,3266,3267,3268,3268,3268,17,3268,3268,3268,3269,3269,3270,3286,3288,3288,3290,12,17,3290,28,28,28,31,31,31,32,32,32,12,32,33,48,48,49,49,50,50,50,50,13,50,50,50,50,50,50,50,50,50,50,13,56,56,56,56,56,56,56,65,65,65,13,65,65,66,66,66,66,66,66,68,68,13,70,71,71,71,71,72,72,72,72,77,14,77,84,84,85,86,91,91,91,93,94
