nullrtA1b1a0,rtA1b1a1,rtA1b1a2,rtA1b1a3,rtA1b1a4,rtA1b1a5,rtA1b1a6,rtA1b1a7,rtA1b1a8,rtA1b1a9,rtA1b1a10,rtA1b1a11,rtA1b1a12,rtA1b1a13,rtA1b1a14,rtA1b1a15,rtA1b1a16,rtA1b1a17,rtA1b1a18,rtA1b1a19,rtA1b1a20,rtA1b1a21,rtA1b1a22,rtA1b1a23,rtA1b1a24,rtA1b1a25,rtA1b1a26,rtA1b1a27,rtA1b1a28,rtA1b1a29,rtA1b1a30,rtA1b1a31,rtA1b1a32,rtA1b1a33,rtA1b1a34,rtA1b1a35,rtA1b1a36,rtA1b1a37,rtA1b1a38,rtA1b1a39,rtA1b1a40,rtA1b1a41,rtA1b1a42,rtA1b1a43,rtA1b1a44,rtA1b1a45,rtA1b1a46,rtA1b1a47,rtA1b1a48,rtA1b1a49,rtA1b1a50,rtA1b1a51,rtA1b1a52,rtA1b1a53,rtA1b1a54,rtA1b1a55,rtA1b1a56,rtA1b1a57,rtA1b1a58,rtA1b1a59,rtA1b1a60,rtA1b1a61,rtA1b1a62,rtA1b1a63,rtA1b1a64,rtA1b1a65,rtA1b1a66,rtA1b1a67,rtA1b1a68,rtA1b1a69,rtA1b1a70,rtA1b1a71,rtA1b1a72,rtA1b1a73,rtA1b1a74,rtA1b1a75,rtA1b1a76,rtA1b1a77,rtA1b1a78,rtA1b1a79,rtA1b1a80,rtA1b1a81,rtA1b1a82,rtA1b1a83,rtA1b1a84,rtA1b1a85,rtA1b1a86,rtA1b1a87,rtA1b1a88,rtA1b1a89,rtA1b1a90,rtA1b1a91,rtA1b1a92,rtA1b1a93,rtA1b1a94,rtA1b1a95,rtA1b1a96,rtA1b1a97,rtA1b1a98,rtA1b1a99,rtA1b1a100,rtA1b1a101,rtA1b1a102,rtA1b1a103,rtA1b1a104,rtA1b1a105,rtA1b1a106,rtA1b1a107,rtA1b1a108,rtA1b1a109,rtA1b1a110,rtA1b1a111,rtA1b1a112,rtA1b1a113,rtA1b1a114,rtA1b1a115,rtA1b1a116,rtA1b1a117,rtA1b1a118,rtA1b1a119,rtA1b1a120,rtA1b1a121,rtA1b1a122,rtA1b1a123,rtA1b1a124,rtA1b1a125,rtA1b1a126,rtA1b1a127,rtA1b1a128,rtA1b1a129,rtA1b1a130,rtA1b1a131,rtA1b1a132,rtA1b1a133,rtA1b1a134,rtA1b1a135,rtA1b1a136,rtA1b1a137,rtA1b1a138,rtA1b1a139,rtA1b1a140,rtA1b1a141,rtA1b1a142,rtA1b1a143,rtA1b1a144,rtA1b1a145,rtA1b1a146,rtA1b1a147,rtA1b1a148,rtA1b1a149,rtA1b1a150,rtA1b1a151,rtA1b1a152,rtA1b1a153,rtA1b1a154,rtA1b1a155,rtA1b1a156,rtA1b1a157,rtA1b1a158,rtA1b1a159,rtA1b1a160,rtA1b1a161,rtA1b1a162,rtA1b1a163,rtA1b1a164,rtA1b1a165,rtA1b1a166,rtA1b1a167,rtA1b1a168,rtA1b1a169,rtA1b1a170,rtA1b1a171,rtA1b1a172,rtA1b1a173,rtA1b1a174,rtA1b1a175,rtA1b1a176,rtA1b1a177,rtA1b1a178,rtA1b1a179,rtA1b1a180,rtA1b1a181,rtA1b1a182,rtA1b1a183,rtA1b1a184,rtA1b1a185,rtA1b1a186,rtA1b1a187,rtA1b1a188,rtA1b1a189,rtA1b1a190,rtA1b1a191,rtA1b1a192,rtA1b1a193,rtA1b1a194,rtA1b1a195,rtA1b1a196,rtA1b1a197,rtA1b1a198,rtA1b1a199,rtA1b1a200,rtA1b1a201,rtA1b1a202,rtA1b1a203,rtA1b1a204,rtA1b1a205,rtA1b1a206,rtA1b1a207,rtA1b1a208,rtA1b1a209,rtA1b1a210,rtA1b1a211,rtA1b1a212,rtA1b1a213,rtA1b1a214,rtA1b1a215,rtA1b1a216,rtA1b1a217,rtA1b1a218,rtA1b1a219,rtA1b1a220,rtA1b1a221,rtA1b1a222,rtA1b1a223,rtA1b1a224,rtA1b1a225,rtA1b1a226,rtA1b1a227,rtA1b1a228,rtA1b1a229,rtA1b1a230,rtA1b1a231,rtA1b1a232,rtA1b1a233,rtA1b1a234,rtA1b1a235,rtA1b1a236,rtA1b1a237,rtA1b1a238,rtA1b1a239,rtA1b1a240,rtA1b1a241,rtA1b1a242,rtA1b1a243,rtA1b1a244,rtA1b1a245,rtA1b1a246,rtA1b1a247,rtA1b1a248,rtA1b1a249,rtA1b1a250,rtA1b1a251,rtA1b1a252,rtA1b1a253,rtA1b1a254,rtA1b1a255,rtA1b1a256,rtA1b1a257,rtA1b1a258,rtA1b1a259,rtA1b1a260,rtA1b1a261,rtA1b1a262,rtA1b1a263,rtA1b1a264,rtA1b1a265,rtA1b1a266,rtA1b1a267,rtA1b1a268,rtA1b1a269,rtA1b1a270,rtA1b1a271,rtA1b1a272,rtA1b1a273,rtA1b1a274,rtA1b1a275,rtA1b1a276,rtA1b1a277,rtA1b1a278,rtA1b1a279,rtA1b1a280,rtA1b1a281,rtA1b1a282,rtA1b1a283,rtA1b1a284,rtA1b1a285,rtA1b1a286,rtA1b1a287,rtA1b1a288,rtA1b1a289,rtA1b1a290,rtA1b1a291,rtA1b1a292,rtA1b1a293,rtA1b1a294,rtA1b1a295,rtA1b1a296,rtA1b1a297,rtA1b1a298,rtA1b1a299,rtA1b1a300
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
0,359,3524,32013,32318,32619,32919,33219,33529,33830,34133,34431,34731,3870,35034,35333,35633,35933,36236,36533,36834,37140,37440,37748,4220,38046,38346,38647,38955,39252,39557,39856,40161,40471,40771,4574,41071,41371,41668,41971,42272,42579,42879,43251,43657,44057,4920,44462,44952,45505,46054,46611,47158,47715,48273,48820,49358,5280,49864,50269,50627,50977,51334,51695,52049,52399,52702,53002,5634,53299,53605,53917,54249,54590,54940,55278,55615,55963,56304,5984,56626,56929,57228,57531,57831,58136,58441,58741,59051,59354,6334,59654,59960,60259,60564,60865,61168,61467,61774,62078,62378,6688,62776,63227,63539,63968,64571,65118,65666,66218,66757,67080,710,7034,67382,67705,68051,68407,68723,69030,69557,70064,70581,71131,7388,71710,72323,72930,73530,73996,74466,74916,75366,75857,76374,7735,76828,77230,77695,78199,78699,79205,79705,80200,80705,81193,8089,81648,82098,82543,83055,83640,84210,84592,84913,85279,85646,8443,86004,86363,86720,87070,87424,87777,88083,88425,88775,89126,8759,89479,89836,90183,90695,91073,91373,91676,91976,92283,92593,9059,92893,93198,93498,93798,94095,94396,94696,94996,95296,95607,9361,96006,96411,96811,97211,97615,98011,98427,98773,99073,99376,9661,99673,99973,100275,100578,100876,101176,101479,101778,102082,102384,9961,102684,102981,103318,103668,104020,104371,104722,105069,105422,105769,1060,10264,106122,10562,10862,11165,11465,11765,12065,12365,12662,12962,1410,13262,13565,13878,14178,14475,14775,15076,15376,15676,15977,1764,16277,16616,17016,17416,17820,18203,18503,18802,19105,19408,2116,19712,20013,20310,20610,20913,21210,21510,21813,22121,22422,2462,22721,23025,23325,23625,23922,24225,24522,24822,25126,25423,2818,25729,26026,26326,26631,26928,27229,27532,27838,28135,28437,3164,28740,29148,29523,29873,30204,30508,30805,31105,31405,31713
