nullrtA1b1b0,rtA1b1b1,rtA1b1b2,rtA1b1b3,rtA1b1b4,rtA1b1b5,rtA1b1b6,rtA1b1b7,rtA1b1b8,rtA1b1b9,rtA1b1b10,rtA1b1b11,rtA1b1b12,rtA1b1b13,rtA1b1b14,rtA1b1b15,rtA1b1b16,rtA1b1b17,rtA1b1b18,rtA1b1b19,rtA1b1b20,rtA1b1b21,rtA1b1b22,rtA1b1b23,rtA1b1b24,rtA1b1b25,rtA1b1b26,rtA1b1b27,rtA1b1b28,rtA1b1b29,rtA1b1b30,rtA1b1b31,rtA1b1b32,rtA1b1b33,rtA1b1b34,rtA1b1b35,rtA1b1b36,rtA1b1b37,rtA1b1b38,rtA1b1b39,rtA1b1b40,rtA1b1b41,rtA1b1b42,rtA1b1b43,rtA1b1b44,rtA1b1b45,rtA1b1b46,rtA1b1b47,rtA1b1b48,rtA1b1b49,rtA1b1b50,rtA1b1b51,rtA1b1b52,rtA1b1b53,rtA1b1b54,rtA1b1b55,rtA1b1b56,rtA1b1b57,rtA1b1b58,rtA1b1b59,rtA1b1b60,rtA1b1b61,rtA1b1b62,rtA1b1b63,rtA1b1b64,rtA1b1b65,rtA1b1b66,rtA1b1b67,rtA1b1b68,rtA1b1b69,rtA1b1b70,rtA1b1b71,rtA1b1b72,rtA1b1b73,rtA1b1b74,rtA1b1b75,rtA1b1b76,rtA1b1b77,rtA1b1b78,rtA1b1b79,rtA1b1b80,rtA1b1b81,rtA1b1b82,rtA1b1b83,rtA1b1b84,rtA1b1b85,rtA1b1b86,rtA1b1b87,rtA1b1b88,rtA1b1b89,rtA1b1b90,rtA1b1b91,rtA1b1b92,rtA1b1b93,rtA1b1b94,rtA1b1b95,rtA1b1b96,rtA1b1b97,rtA1b1b98,rtA1b1b99,rtA1b1b100,rtA1b1b101,rtA1b1b102,rtA1b1b103,rtA1b1b104,rtA1b1b105,rtA1b1b106,rtA1b1b107,rtA1b1b108,rtA1b1b109,rtA1b1b110,rtA1b1b111,rtA1b1b112,rtA1b1b113,rtA1b1b114,rtA1b1b115,rtA1b1b116,rtA1b1b117,rtA1b1b118,rtA1b1b119,rtA1b1b120,rtA1b1b121,rtA1b1b122,rtA1b1b123,rtA1b1b124,rtA1b1b125,rtA1b1b126,rtA1b1b127,rtA1b1b128,rtA1b1b129,rtA1b1b130,rtA1b1b131,rtA1b1b132,rtA1b1b133,rtA1b1b134,rtA1b1b135,rtA1b1b136,rtA1b1b137,rtA1b1b138,rtA1b1b139,rtA1b1b140,rtA1b1b141,rtA1b1b142,rtA1b1b143,rtA1b1b144,rtA1b1b145,rtA1b1b146,rtA1b1b147,rtA1b1b148,rtA1b1b149,rtA1b1b150,rtA1b1b151,rtA1b1b152,rtA1b1b153,rtA1b1b154,rtA1b1b155,rtA1b1b156,rtA1b1b157,rtA1b1b158,rtA1b1b159,rtA1b1b160,rtA1b1b161,rtA1b1b162,rtA1b1b163,rtA1b1b164,rtA1b1b165,rtA1b1b166,rtA1b1b167,rtA1b1b168,rtA1b1b169,rtA1b1b170,rtA1b1b171,rtA1b1b172,rtA1b1b173,rtA1b1b174,rtA1b1b175,rtA1b1b176,rtA1b1b177,rtA1b1b178,rtA1b1b179,rtA1b1b180,rtA1b1b181,rtA1b1b182,rtA1b1b183,rtA1b1b184,rtA1b1b185,rtA1b1b186,rtA1b1b187,rtA1b1b188,rtA1b1b189,rtA1b1b190,rtA1b1b191,rtA1b1b192,rtA1b1b193,rtA1b1b194,rtA1b1b195,rtA1b1b196,rtA1b1b197,rtA1b1b198,rtA1b1b199,rtA1b1b200,rtA1b1b201,rtA1b1b202,rtA1b1b203,rtA1b1b204,rtA1b1b205,rtA1b1b206,rtA1b1b207,rtA1b1b208,rtA1b1b209,rtA1b1b210,rtA1b1b211,rtA1b1b212,rtA1b1b213,rtA1b1b214,rtA1b1b215,rtA1b1b216,rtA1b1b217,rtA1b1b218,rtA1b1b219,rtA1b1b220,rtA1b1b221,rtA1b1b222,rtA1b1b223,rtA1b1b224,rtA1b1b225,rtA1b1b226,rtA1b1b227,rtA1b1b228,rtA1b1b229,rtA1b1b230,rtA1b1b231,rtA1b1b232,rtA1b1b233,rtA1b1b234,rtA1b1b235,rtA1b1b236,rtA1b1b237,rtA1b1b238,rtA1b1b239,rtA1b1b240,rtA1b1b241,rtA1b1b242,rtA1b1b243,rtA1b1b244,rtA1b1b245,rtA1b1b246,rtA1b1b247,rtA1b1b248,rtA1b1b249,rtA1b1b250,rtA1b1b251,rtA1b1b252,rtA1b1b253,rtA1b1b254,rtA1b1b255,rtA1b1b256,rtA1b1b257,rtA1b1b258,rtA1b1b259,rtA1b1b260,rtA1b1b261,rtA1b1b262,rtA1b1b263,rtA1b1b264,rtA1b1b265,rtA1b1b266,rtA1b1b267,rtA1b1b268,rtA1b1b269,rtA1b1b270,rtA1b1b271,rtA1b1b272,rtA1b1b273,rtA1b1b274,rtA1b1b275,rtA1b1b276,rtA1b1b277,rtA1b1b278,rtA1b1b279,rtA1b1b280,rtA1b1b281,rtA1b1b282,rtA1b1b283,rtA1b1b284,rtA1b1b285,rtA1b1b286,rtA1b1b287,rtA1b1b288,rtA1b1b289,rtA1b1b290,rtA1b1b291,rtA1b1b292,rtA1b1b293,rtA1b1b294,rtA1b1b295,rtA1b1b296,rtA1b1b297,rtA1b1b298,rtA1b1b299,rtA1b1b300
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
