nullrtA1c10,rtA1c11,rtA1c12,rtA1c13,rtA1c14,rtA1c15,rtA1c16,rtA1c17,rtA1c18,rtA1c19,rtA1c110,rtA1c111,rtA1c112,rtA1c113,rtA1c114,rtA1c115,rtA1c116,rtA1c117,rtA1c118,rtA1c119,rtA1c120,rtA1c121,rtA1c122,rtA1c123,rtA1c124,rtA1c125,rtA1c126,rtA1c127,rtA1c128,rtA1c129,rtA1c130,rtA1c131,rtA1c132,rtA1c133,rtA1c134,rtA1c135,rtA1c136,rtA1c137,rtA1c138,rtA1c139,rtA1c140,rtA1c141,rtA1c142,rtA1c143,rtA1c144,rtA1c145,rtA1c146,rtA1c147,rtA1c148,rtA1c149,rtA1c150,rtA1c151,rtA1c152,rtA1c153,rtA1c154,rtA1c155,rtA1c156,rtA1c157,rtA1c158,rtA1c159,rtA1c160,rtA1c161,rtA1c162,rtA1c163,rtA1c164,rtA1c165,rtA1c166,rtA1c167,rtA1c168,rtA1c169,rtA1c170,rtA1c171,rtA1c172,rtA1c173,rtA1c174,rtA1c175,rtA1c176,rtA1c177,rtA1c178,rtA1c179,rtA1c180,rtA1c181,rtA1c182,rtA1c183,rtA1c184,rtA1c185,rtA1c186,rtA1c187,rtA1c188,rtA1c189,rtA1c190,rtA1c191,rtA1c192,rtA1c193,rtA1c194,rtA1c195,rtA1c196,rtA1c197,rtA1c198,rtA1c199,rtA1c1100,rtA1c1101,rtA1c1102,rtA1c1103,rtA1c1104,rtA1c1105,rtA1c1106,rtA1c1107,rtA1c1108,rtA1c1109,rtA1c1110,rtA1c1111,rtA1c1112,rtA1c1113,rtA1c1114,rtA1c1115,rtA1c1116,rtA1c1117,rtA1c1118,rtA1c1119,rtA1c1120,rtA1c1121,rtA1c1122,rtA1c1123,rtA1c1124,rtA1c1125,rtA1c1126,rtA1c1127,rtA1c1128,rtA1c1129,rtA1c1130,rtA1c1131,rtA1c1132,rtA1c1133,rtA1c1134,rtA1c1135,rtA1c1136,rtA1c1137,rtA1c1138,rtA1c1139,rtA1c1140,rtA1c1141,rtA1c1142,rtA1c1143,rtA1c1144,rtA1c1145,rtA1c1146,rtA1c1147,rtA1c1148,rtA1c1149,rtA1c1150,rtA1c1151,rtA1c1152,rtA1c1153,rtA1c1154,rtA1c1155,rtA1c1156,rtA1c1157,rtA1c1158,rtA1c1159,rtA1c1160,rtA1c1161,rtA1c1162,rtA1c1163,rtA1c1164,rtA1c1165,rtA1c1166,rtA1c1167,rtA1c1168,rtA1c1169,rtA1c1170,rtA1c1171,rtA1c1172,rtA1c1173,rtA1c1174,rtA1c1175,rtA1c1176,rtA1c1177,rtA1c1178,rtA1c1179,rtA1c1180,rtA1c1181,rtA1c1182,rtA1c1183,rtA1c1184,rtA1c1185,rtA1c1186,rtA1c1187,rtA1c1188,rtA1c1189,rtA1c1190,rtA1c1191,rtA1c1192,rtA1c1193,rtA1c1194,rtA1c1195,rtA1c1196,rtA1c1197,rtA1c1198,rtA1c1199,rtA1c1200,rtA1c1201,rtA1c1202,rtA1c1203,rtA1c1204,rtA1c1205,rtA1c1206,rtA1c1207,rtA1c1208,rtA1c1209,rtA1c1210,rtA1c1211,rtA1c1212,rtA1c1213,rtA1c1214,rtA1c1215,rtA1c1216,rtA1c1217,rtA1c1218,rtA1c1219,rtA1c1220,rtA1c1221,rtA1c1222,rtA1c1223,rtA1c1224,rtA1c1225,rtA1c1226,rtA1c1227,rtA1c1228,rtA1c1229,rtA1c1230,rtA1c1231,rtA1c1232,rtA1c1233,rtA1c1234,rtA1c1235,rtA1c1236,rtA1c1237,rtA1c1238,rtA1c1239,rtA1c1240,rtA1c1241,rtA1c1242,rtA1c1243,rtA1c1244,rtA1c1245,rtA1c1246,rtA1c1247,rtA1c1248,rtA1c1249,rtA1c1250,rtA1c1251,rtA1c1252,rtA1c1253,rtA1c1254,rtA1c1255,rtA1c1256,rtA1c1257,rtA1c1258,rtA1c1259,rtA1c1260,rtA1c1261,rtA1c1262,rtA1c1263,rtA1c1264,rtA1c1265,rtA1c1266,rtA1c1267,rtA1c1268,rtA1c1269,rtA1c1270,rtA1c1271,rtA1c1272,rtA1c1273,rtA1c1274,rtA1c1275,rtA1c1276,rtA1c1277,rtA1c1278,rtA1c1279,rtA1c1280,rtA1c1281,rtA1c1282,rtA1c1283,rtA1c1284,rtA1c1285,rtA1c1286,rtA1c1287,rtA1c1288,rtA1c1289,rtA1c1290,rtA1c1291,rtA1c1292,rtA1c1293,rtA1c1294,rtA1c1295,rtA1c1296,rtA1c1297,rtA1c1298,rtA1c1299,rtA1c1300
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
0,662,4763,5843,5843,5844,5844,5844,5844,5846,5846,5846,5846,4866,5847,5847,5847,5847,5847,5847,5848,5848,5849,5849,4966,5849,5849,5849,5849,5849,5849,5850,5850,5850,5850,5067,5851,5851,5851,5851,5852,5852,5852,5852,5852,5852,5166,5853,5853,5853,5853,5853,5853,5853,5853,5853,5873,5266,5923,5974,6028,6078,6128,6178,6228,6387,6646,6785,5271,6893,7009,7119,7219,7320,7423,7523,7622,7723,7823,5271,7847,7847,7848,7853,7853,7936,8000,8000,8000,8000,5271,8000,8001,8001,8001,8005,8005,8005,8005,8005,8005,5271,8005,8158,8257,8336,8336,8337,8337,8340,8341,8455,1340,5271,8707,8957,9305,9658,9879,10081,10096,10096,10115,10165,5271,10228,10284,10335,10385,10439,10496,10546,10596,10645,10695,5272,10722,10722,10723,10723,10723,10723,10723,10723,10724,10804,5272,10905,11005,11104,11205,11274,11313,12605,14083,15506,16934,5272,18351,19609,20951,22421,23936,25316,26598,27819,28977,30065,5272,31089,31774,31873,31973,32142,32342,32542,32742,32945,33657,5272,34389,35095,35795,36495,37182,37977,38906,39671,40372,41071,5273,41172,41325,41527,41727,41941,42146,42417,42919,43419,43924,5273,44419,44841,45344,45849,46344,46844,47351,47846,48354,48856,5273,49356,49851,50287,50638,50995,51288,51537,51784,52037,52284,2126,5273,52537,5273,5273,5273,5273,5273,5273,5273,5273,5273,2926,5273,5273,5273,5273,5273,5273,5273,5273,5273,5274,3734,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,3959,5274,5274,5274,5274,5274,5274,5274,5274,5274,5274,4157,5274,5274,5274,5274,5275,5275,5275,5275,5275,5275,4359,5275,5275,5275,5275,5275,5277,5277,5277,5277,5277,4561,5277,5433,5562,5663,5763,5836,5836,5836,5836,5843
