nullrtA2a2A20,rtA2a2A21,rtA2a2A22,rtA2a2A23,rtA2a2A24,rtA2a2A25,rtA2a2A26,rtA2a2A27,rtA2a2A28,rtA2a2A29,rtA2a2A210,rtA2a2A211,rtA2a2A212,rtA2a2A213,rtA2a2A214,rtA2a2A215,rtA2a2A216,rtA2a2A217,rtA2a2A218,rtA2a2A219,rtA2a2A220,rtA2a2A221,rtA2a2A222,rtA2a2A223,rtA2a2A224,rtA2a2A225,rtA2a2A226,rtA2a2A227,rtA2a2A228,rtA2a2A229,rtA2a2A230,rtA2a2A231,rtA2a2A232,rtA2a2A233,rtA2a2A234,rtA2a2A235,rtA2a2A236,rtA2a2A237,rtA2a2A238,rtA2a2A239,rtA2a2A240,rtA2a2A241,rtA2a2A242,rtA2a2A243,rtA2a2A244,rtA2a2A245,rtA2a2A246,rtA2a2A247,rtA2a2A248,rtA2a2A249,rtA2a2A250,rtA2a2A251,rtA2a2A252,rtA2a2A253,rtA2a2A254,rtA2a2A255,rtA2a2A256,rtA2a2A257,rtA2a2A258,rtA2a2A259,rtA2a2A260,rtA2a2A261,rtA2a2A262,rtA2a2A263,rtA2a2A264,rtA2a2A265,rtA2a2A266,rtA2a2A267,rtA2a2A268,rtA2a2A269,rtA2a2A270,rtA2a2A271,rtA2a2A272,rtA2a2A273,rtA2a2A274,rtA2a2A275,rtA2a2A276,rtA2a2A277,rtA2a2A278,rtA2a2A279,rtA2a2A280,rtA2a2A281,rtA2a2A282,rtA2a2A283,rtA2a2A284,rtA2a2A285,rtA2a2A286,rtA2a2A287,rtA2a2A288,rtA2a2A289,rtA2a2A290,rtA2a2A291,rtA2a2A292,rtA2a2A293,rtA2a2A294,rtA2a2A295,rtA2a2A296,rtA2a2A297,rtA2a2A298,rtA2a2A299,rtA2a2A2100,rtA2a2A2101,rtA2a2A2102,rtA2a2A2103,rtA2a2A2104,rtA2a2A2105,rtA2a2A2106,rtA2a2A2107,rtA2a2A2108,rtA2a2A2109,rtA2a2A2110,rtA2a2A2111,rtA2a2A2112,rtA2a2A2113,rtA2a2A2114,rtA2a2A2115,rtA2a2A2116,rtA2a2A2117,rtA2a2A2118,rtA2a2A2119,rtA2a2A2120,rtA2a2A2121,rtA2a2A2122,rtA2a2A2123,rtA2a2A2124,rtA2a2A2125,rtA2a2A2126,rtA2a2A2127,rtA2a2A2128,rtA2a2A2129,rtA2a2A2130,rtA2a2A2131,rtA2a2A2132,rtA2a2A2133,rtA2a2A2134,rtA2a2A2135,rtA2a2A2136,rtA2a2A2137,rtA2a2A2138,rtA2a2A2139,rtA2a2A2140,rtA2a2A2141,rtA2a2A2142,rtA2a2A2143,rtA2a2A2144,rtA2a2A2145,rtA2a2A2146,rtA2a2A2147,rtA2a2A2148,rtA2a2A2149,rtA2a2A2150,rtA2a2A2151,rtA2a2A2152,rtA2a2A2153,rtA2a2A2154,rtA2a2A2155,rtA2a2A2156,rtA2a2A2157,rtA2a2A2158,rtA2a2A2159,rtA2a2A2160,rtA2a2A2161,rtA2a2A2162,rtA2a2A2163,rtA2a2A2164,rtA2a2A2165,rtA2a2A2166,rtA2a2A2167,rtA2a2A2168,rtA2a2A2169,rtA2a2A2170,rtA2a2A2171,rtA2a2A2172,rtA2a2A2173,rtA2a2A2174,rtA2a2A2175,rtA2a2A2176,rtA2a2A2177,rtA2a2A2178,rtA2a2A2179,rtA2a2A2180,rtA2a2A2181,rtA2a2A2182,rtA2a2A2183,rtA2a2A2184,rtA2a2A2185,rtA2a2A2186,rtA2a2A2187,rtA2a2A2188,rtA2a2A2189,rtA2a2A2190,rtA2a2A2191,rtA2a2A2192,rtA2a2A2193,rtA2a2A2194,rtA2a2A2195,rtA2a2A2196,rtA2a2A2197,rtA2a2A2198,rtA2a2A2199,rtA2a2A2200,rtA2a2A2201,rtA2a2A2202,rtA2a2A2203,rtA2a2A2204,rtA2a2A2205,rtA2a2A2206,rtA2a2A2207,rtA2a2A2208,rtA2a2A2209,rtA2a2A2210,rtA2a2A2211,rtA2a2A2212,rtA2a2A2213,rtA2a2A2214,rtA2a2A2215,rtA2a2A2216,rtA2a2A2217,rtA2a2A2218,rtA2a2A2219,rtA2a2A2220,rtA2a2A2221,rtA2a2A2222,rtA2a2A2223,rtA2a2A2224,rtA2a2A2225,rtA2a2A2226,rtA2a2A2227,rtA2a2A2228,rtA2a2A2229,rtA2a2A2230,rtA2a2A2231,rtA2a2A2232,rtA2a2A2233,rtA2a2A2234,rtA2a2A2235,rtA2a2A2236,rtA2a2A2237,rtA2a2A2238,rtA2a2A2239,rtA2a2A2240,rtA2a2A2241,rtA2a2A2242,rtA2a2A2243,rtA2a2A2244,rtA2a2A2245,rtA2a2A2246,rtA2a2A2247,rtA2a2A2248,rtA2a2A2249,rtA2a2A2250,rtA2a2A2251,rtA2a2A2252,rtA2a2A2253,rtA2a2A2254,rtA2a2A2255,rtA2a2A2256,rtA2a2A2257,rtA2a2A2258,rtA2a2A2259,rtA2a2A2260,rtA2a2A2261,rtA2a2A2262,rtA2a2A2263,rtA2a2A2264,rtA2a2A2265,rtA2a2A2266,rtA2a2A2267,rtA2a2A2268,rtA2a2A2269,rtA2a2A2270,rtA2a2A2271,rtA2a2A2272,rtA2a2A2273,rtA2a2A2274,rtA2a2A2275,rtA2a2A2276,rtA2a2A2277,rtA2a2A2278,rtA2a2A2279,rtA2a2A2280,rtA2a2A2281,rtA2a2A2282,rtA2a2A2283,rtA2a2A2284,rtA2a2A2285,rtA2a2A2286,rtA2a2A2287,rtA2a2A2288,rtA2a2A2289,rtA2a2A2290,rtA2a2A2291,rtA2a2A2292,rtA2a2A2293,rtA2a2A2294,rtA2a2A2295,rtA2a2A2296,rtA2a2A2297,rtA2a2A2298,rtA2a2A2299,rtA2a2A2300
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
0,1574,13725,34526,34527,34536,34636,34735,34836,34936,35028,35028,35028,14175,35126,35225,35325,35425,35526,35527,35527,35527,35527,35528,14475,35528,35606,35707,35808,35907,36008,36029,36069,36170,36270,14706,36370,36470,36530,36530,36530,36530,36530,36530,36531,36531,15088,36532,36532,36532,36532,36539,36639,36779,37046,37343,37638,15434,37838,37998,38032,38032,38110,38211,38312,38414,38514,38538,15829,38538,38538,38538,38538,38538,38538,38538,38538,38538,38540,16301,38541,38541,38623,38723,38823,38924,39024,39043,39043,39044,16801,39144,39245,39413,39615,40010,40414,40810,41147,41447,41547,17121,41547,41547,41548,41549,41550,41550,41550,41550,41550,41551,3326,17368,41551,41551,41551,41551,41552,41597,41779,41981,42166,42266,17474,42323,42336,42435,42535,42636,42738,42825,42825,42825,42826,17641,42826,42826,42826,42835,42935,43068,43268,43466,43658,43757,17855,43826,43826,43827,43827,43828,43828,43830,43831,43831,43847,18170,43946,44048,44147,44247,44334,44414,44602,44803,45003,45201,18622,45367,45565,45763,45867,45969,46069,46166,46266,46314,46410,19122,46510,46611,46712,46812,46820,46821,46821,46821,46853,46954,19482,47053,47154,47254,47321,47416,47515,47615,47715,47815,47821,19771,47821,47821,47821,47821,47823,47823,47823,47824,47824,47824,19988,47824,47824,47825,47825,47825,47825,47825,47826,47826,47826,5171,20232,47826,20456,20874,21379,21867,22269,22642,22824,22923,23083,7071,23183,23344,23617,24017,24337,24688,25031,25262,25362,25462,9044,25511,25511,25600,25700,25801,26036,26436,26743,27097,27538,10031,27922,28222,28519,28765,28925,29014,29014,29015,29061,29161,10959,29330,29532,29731,29919,30117,30249,30349,30449,30518,30518,11875,30581,30680,30803,31084,31381,31620,31822,32044,32164,32265,12766,32366,32703,33055,33355,33693,34097,34261,34361,34463,34526
