nullrtA2a2B20,rtA2a2B21,rtA2a2B22,rtA2a2B23,rtA2a2B24,rtA2a2B25,rtA2a2B26,rtA2a2B27,rtA2a2B28,rtA2a2B29,rtA2a2B210,rtA2a2B211,rtA2a2B212,rtA2a2B213,rtA2a2B214,rtA2a2B215,rtA2a2B216,rtA2a2B217,rtA2a2B218,rtA2a2B219,rtA2a2B220,rtA2a2B221,rtA2a2B222,rtA2a2B223,rtA2a2B224,rtA2a2B225,rtA2a2B226,rtA2a2B227,rtA2a2B228,rtA2a2B229,rtA2a2B230,rtA2a2B231,rtA2a2B232,rtA2a2B233,rtA2a2B234,rtA2a2B235,rtA2a2B236,rtA2a2B237,rtA2a2B238,rtA2a2B239,rtA2a2B240,rtA2a2B241,rtA2a2B242,rtA2a2B243,rtA2a2B244,rtA2a2B245,rtA2a2B246,rtA2a2B247,rtA2a2B248,rtA2a2B249,rtA2a2B250,rtA2a2B251,rtA2a2B252,rtA2a2B253,rtA2a2B254,rtA2a2B255,rtA2a2B256,rtA2a2B257,rtA2a2B258,rtA2a2B259,rtA2a2B260,rtA2a2B261,rtA2a2B262,rtA2a2B263,rtA2a2B264,rtA2a2B265,rtA2a2B266,rtA2a2B267,rtA2a2B268,rtA2a2B269,rtA2a2B270,rtA2a2B271,rtA2a2B272,rtA2a2B273,rtA2a2B274,rtA2a2B275,rtA2a2B276,rtA2a2B277,rtA2a2B278,rtA2a2B279,rtA2a2B280,rtA2a2B281,rtA2a2B282,rtA2a2B283,rtA2a2B284,rtA2a2B285,rtA2a2B286,rtA2a2B287,rtA2a2B288,rtA2a2B289,rtA2a2B290,rtA2a2B291,rtA2a2B292,rtA2a2B293,rtA2a2B294,rtA2a2B295,rtA2a2B296,rtA2a2B297,rtA2a2B298,rtA2a2B299,rtA2a2B2100,rtA2a2B2101,rtA2a2B2102,rtA2a2B2103,rtA2a2B2104,rtA2a2B2105,rtA2a2B2106,rtA2a2B2107,rtA2a2B2108,rtA2a2B2109,rtA2a2B2110,rtA2a2B2111,rtA2a2B2112,rtA2a2B2113,rtA2a2B2114,rtA2a2B2115,rtA2a2B2116,rtA2a2B2117,rtA2a2B2118,rtA2a2B2119,rtA2a2B2120,rtA2a2B2121,rtA2a2B2122,rtA2a2B2123,rtA2a2B2124,rtA2a2B2125,rtA2a2B2126,rtA2a2B2127,rtA2a2B2128,rtA2a2B2129,rtA2a2B2130,rtA2a2B2131,rtA2a2B2132,rtA2a2B2133,rtA2a2B2134,rtA2a2B2135,rtA2a2B2136,rtA2a2B2137,rtA2a2B2138,rtA2a2B2139,rtA2a2B2140,rtA2a2B2141,rtA2a2B2142,rtA2a2B2143,rtA2a2B2144,rtA2a2B2145,rtA2a2B2146,rtA2a2B2147,rtA2a2B2148,rtA2a2B2149,rtA2a2B2150,rtA2a2B2151,rtA2a2B2152,rtA2a2B2153,rtA2a2B2154,rtA2a2B2155,rtA2a2B2156,rtA2a2B2157,rtA2a2B2158,rtA2a2B2159,rtA2a2B2160,rtA2a2B2161,rtA2a2B2162,rtA2a2B2163,rtA2a2B2164,rtA2a2B2165,rtA2a2B2166,rtA2a2B2167,rtA2a2B2168,rtA2a2B2169,rtA2a2B2170,rtA2a2B2171,rtA2a2B2172,rtA2a2B2173,rtA2a2B2174,rtA2a2B2175,rtA2a2B2176,rtA2a2B2177,rtA2a2B2178,rtA2a2B2179,rtA2a2B2180,rtA2a2B2181,rtA2a2B2182,rtA2a2B2183,rtA2a2B2184,rtA2a2B2185,rtA2a2B2186,rtA2a2B2187,rtA2a2B2188,rtA2a2B2189,rtA2a2B2190,rtA2a2B2191,rtA2a2B2192,rtA2a2B2193,rtA2a2B2194,rtA2a2B2195,rtA2a2B2196,rtA2a2B2197,rtA2a2B2198,rtA2a2B2199,rtA2a2B2200,rtA2a2B2201,rtA2a2B2202,rtA2a2B2203,rtA2a2B2204,rtA2a2B2205,rtA2a2B2206,rtA2a2B2207,rtA2a2B2208,rtA2a2B2209,rtA2a2B2210,rtA2a2B2211,rtA2a2B2212,rtA2a2B2213,rtA2a2B2214,rtA2a2B2215,rtA2a2B2216,rtA2a2B2217,rtA2a2B2218,rtA2a2B2219,rtA2a2B2220,rtA2a2B2221,rtA2a2B2222,rtA2a2B2223,rtA2a2B2224,rtA2a2B2225,rtA2a2B2226,rtA2a2B2227,rtA2a2B2228,rtA2a2B2229,rtA2a2B2230,rtA2a2B2231,rtA2a2B2232,rtA2a2B2233,rtA2a2B2234,rtA2a2B2235,rtA2a2B2236,rtA2a2B2237,rtA2a2B2238,rtA2a2B2239,rtA2a2B2240,rtA2a2B2241,rtA2a2B2242,rtA2a2B2243,rtA2a2B2244,rtA2a2B2245,rtA2a2B2246,rtA2a2B2247,rtA2a2B2248,rtA2a2B2249,rtA2a2B2250,rtA2a2B2251,rtA2a2B2252,rtA2a2B2253,rtA2a2B2254,rtA2a2B2255,rtA2a2B2256,rtA2a2B2257,rtA2a2B2258,rtA2a2B2259,rtA2a2B2260,rtA2a2B2261,rtA2a2B2262,rtA2a2B2263,rtA2a2B2264,rtA2a2B2265,rtA2a2B2266,rtA2a2B2267,rtA2a2B2268,rtA2a2B2269,rtA2a2B2270,rtA2a2B2271,rtA2a2B2272,rtA2a2B2273,rtA2a2B2274,rtA2a2B2275,rtA2a2B2276,rtA2a2B2277,rtA2a2B2278,rtA2a2B2279,rtA2a2B2280,rtA2a2B2281,rtA2a2B2282,rtA2a2B2283,rtA2a2B2284,rtA2a2B2285,rtA2a2B2286,rtA2a2B2287,rtA2a2B2288,rtA2a2B2289,rtA2a2B2290,rtA2a2B2291,rtA2a2B2292,rtA2a2B2293,rtA2a2B2294,rtA2a2B2295,rtA2a2B2296,rtA2a2B2297,rtA2a2B2298,rtA2a2B2299,rtA2a2B2300
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
