nullrtA2a30,rtA2a31,rtA2a32,rtA2a33,rtA2a34,rtA2a35,rtA2a36,rtA2a37,rtA2a38,rtA2a39,rtA2a310,rtA2a311,rtA2a312,rtA2a313,rtA2a314,rtA2a315,rtA2a316,rtA2a317,rtA2a318,rtA2a319,rtA2a320,rtA2a321,rtA2a322,rtA2a323,rtA2a324,rtA2a325,rtA2a326,rtA2a327,rtA2a328,rtA2a329,rtA2a330,rtA2a331,rtA2a332,rtA2a333,rtA2a334,rtA2a335,rtA2a336,rtA2a337,rtA2a338,rtA2a339,rtA2a340,rtA2a341,rtA2a342,rtA2a343,rtA2a344,rtA2a345,rtA2a346,rtA2a347,rtA2a348,rtA2a349,rtA2a350,rtA2a351,rtA2a352,rtA2a353,rtA2a354,rtA2a355,rtA2a356,rtA2a357,rtA2a358,rtA2a359,rtA2a360,rtA2a361,rtA2a362,rtA2a363,rtA2a364,rtA2a365,rtA2a366,rtA2a367,rtA2a368,rtA2a369,rtA2a370,rtA2a371,rtA2a372,rtA2a373,rtA2a374,rtA2a375,rtA2a376,rtA2a377,rtA2a378,rtA2a379,rtA2a380,rtA2a381,rtA2a382,rtA2a383,rtA2a384,rtA2a385,rtA2a386,rtA2a387,rtA2a388,rtA2a389,rtA2a390,rtA2a391,rtA2a392,rtA2a393,rtA2a394,rtA2a395,rtA2a396,rtA2a397,rtA2a398,rtA2a399,rtA2a3100,rtA2a3101,rtA2a3102,rtA2a3103,rtA2a3104,rtA2a3105,rtA2a3106,rtA2a3107,rtA2a3108,rtA2a3109,rtA2a3110,rtA2a3111,rtA2a3112,rtA2a3113,rtA2a3114,rtA2a3115,rtA2a3116,rtA2a3117,rtA2a3118,rtA2a3119,rtA2a3120,rtA2a3121,rtA2a3122,rtA2a3123,rtA2a3124,rtA2a3125,rtA2a3126,rtA2a3127,rtA2a3128,rtA2a3129,rtA2a3130,rtA2a3131,rtA2a3132,rtA2a3133,rtA2a3134,rtA2a3135,rtA2a3136,rtA2a3137,rtA2a3138,rtA2a3139,rtA2a3140,rtA2a3141,rtA2a3142,rtA2a3143,rtA2a3144,rtA2a3145,rtA2a3146,rtA2a3147,rtA2a3148,rtA2a3149,rtA2a3150,rtA2a3151,rtA2a3152,rtA2a3153,rtA2a3154,rtA2a3155,rtA2a3156,rtA2a3157,rtA2a3158,rtA2a3159,rtA2a3160,rtA2a3161,rtA2a3162,rtA2a3163,rtA2a3164,rtA2a3165,rtA2a3166,rtA2a3167,rtA2a3168,rtA2a3169,rtA2a3170,rtA2a3171,rtA2a3172,rtA2a3173,rtA2a3174,rtA2a3175,rtA2a3176,rtA2a3177,rtA2a3178,rtA2a3179,rtA2a3180,rtA2a3181,rtA2a3182,rtA2a3183,rtA2a3184,rtA2a3185,rtA2a3186,rtA2a3187,rtA2a3188,rtA2a3189,rtA2a3190,rtA2a3191,rtA2a3192,rtA2a3193,rtA2a3194,rtA2a3195,rtA2a3196,rtA2a3197,rtA2a3198,rtA2a3199,rtA2a3200,rtA2a3201,rtA2a3202,rtA2a3203,rtA2a3204,rtA2a3205,rtA2a3206,rtA2a3207,rtA2a3208,rtA2a3209,rtA2a3210,rtA2a3211,rtA2a3212,rtA2a3213,rtA2a3214,rtA2a3215,rtA2a3216,rtA2a3217,rtA2a3218,rtA2a3219,rtA2a3220,rtA2a3221,rtA2a3222,rtA2a3223,rtA2a3224,rtA2a3225,rtA2a3226,rtA2a3227,rtA2a3228,rtA2a3229,rtA2a3230,rtA2a3231,rtA2a3232,rtA2a3233,rtA2a3234,rtA2a3235,rtA2a3236,rtA2a3237,rtA2a3238,rtA2a3239,rtA2a3240,rtA2a3241,rtA2a3242,rtA2a3243,rtA2a3244,rtA2a3245,rtA2a3246,rtA2a3247,rtA2a3248,rtA2a3249,rtA2a3250,rtA2a3251,rtA2a3252,rtA2a3253,rtA2a3254,rtA2a3255,rtA2a3256,rtA2a3257,rtA2a3258,rtA2a3259,rtA2a3260,rtA2a3261,rtA2a3262,rtA2a3263,rtA2a3264,rtA2a3265,rtA2a3266,rtA2a3267,rtA2a3268,rtA2a3269,rtA2a3270,rtA2a3271,rtA2a3272,rtA2a3273,rtA2a3274,rtA2a3275,rtA2a3276,rtA2a3277,rtA2a3278,rtA2a3279,rtA2a3280,rtA2a3281,rtA2a3282,rtA2a3283,rtA2a3284,rtA2a3285,rtA2a3286,rtA2a3287,rtA2a3288,rtA2a3289,rtA2a3290,rtA2a3291,rtA2a3292,rtA2a3293,rtA2a3294,rtA2a3295,rtA2a3296,rtA2a3297,rtA2a3298,rtA2a3299,rtA2a3300
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
0,0,1,14,14,14,15,15,15,16,16,16,16,1,17,17,17,18,18,18,18,19,19,19,1,19,19,19,20,21,21,21,22,22,22,1,22,22,22,22,24,25,25,25,25,25,1,26,28,28,31,31,32,32,33,33,35,1,35,35,37,38,38,38,40,52,132,222,1,312,407,500,529,529,532,532,533,533,534,1,535,536,536,537,537,539,539,540,541,541,1,541,541,541,541,541,542,542,542,544,544,1,544,545,549,553,555,556,556,556,558,560,0,1,560,563,566,566,568,568,569,569,570,572,1,572,575,577,577,577,577,578,578,579,582,1,583,583,583,584,586,586,586,586,586,587,1,587,587,587,589,591,597,604,606,607,608,1,608,611,612,612,612,615,617,619,621,621,1,666,768,867,878,878,879,879,881,881,890,1,893,894,894,895,897,897,898,900,901,903,1,903,904,906,907,909,911,911,913,913,915,1,916,917,920,920,923,923,927,927,929,930,2,930,930,933,935,937,938,939,940,941,942,0,2,942,2,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,5,5,5,6,6,0,7,8,8,9,9,9,9,9,10,10,1,10,10,10,11,11,13,13,13,13,14
