nullrtA2a3A0,rtA2a3A1,rtA2a3A2,rtA2a3A3,rtA2a3A4,rtA2a3A5,rtA2a3A6,rtA2a3A7,rtA2a3A8,rtA2a3A9,rtA2a3A10,rtA2a3A11,rtA2a3A12,rtA2a3A13,rtA2a3A14,rtA2a3A15,rtA2a3A16,rtA2a3A17,rtA2a3A18,rtA2a3A19,rtA2a3A20,rtA2a3A21,rtA2a3A22,rtA2a3A23,rtA2a3A24,rtA2a3A25,rtA2a3A26,rtA2a3A27,rtA2a3A28,rtA2a3A29,rtA2a3A30,rtA2a3A31,rtA2a3A32,rtA2a3A33,rtA2a3A34,rtA2a3A35,rtA2a3A36,rtA2a3A37,rtA2a3A38,rtA2a3A39,rtA2a3A40,rtA2a3A41,rtA2a3A42,rtA2a3A43,rtA2a3A44,rtA2a3A45,rtA2a3A46,rtA2a3A47,rtA2a3A48,rtA2a3A49,rtA2a3A50,rtA2a3A51,rtA2a3A52,rtA2a3A53,rtA2a3A54,rtA2a3A55,rtA2a3A56,rtA2a3A57,rtA2a3A58,rtA2a3A59,rtA2a3A60,rtA2a3A61,rtA2a3A62,rtA2a3A63,rtA2a3A64,rtA2a3A65,rtA2a3A66,rtA2a3A67,rtA2a3A68,rtA2a3A69,rtA2a3A70,rtA2a3A71,rtA2a3A72,rtA2a3A73,rtA2a3A74,rtA2a3A75,rtA2a3A76,rtA2a3A77,rtA2a3A78,rtA2a3A79,rtA2a3A80,rtA2a3A81,rtA2a3A82,rtA2a3A83,rtA2a3A84,rtA2a3A85,rtA2a3A86,rtA2a3A87,rtA2a3A88,rtA2a3A89,rtA2a3A90,rtA2a3A91,rtA2a3A92,rtA2a3A93,rtA2a3A94,rtA2a3A95,rtA2a3A96,rtA2a3A97,rtA2a3A98,rtA2a3A99,rtA2a3A100,rtA2a3A101,rtA2a3A102,rtA2a3A103,rtA2a3A104,rtA2a3A105,rtA2a3A106,rtA2a3A107,rtA2a3A108,rtA2a3A109,rtA2a3A110,rtA2a3A111,rtA2a3A112,rtA2a3A113,rtA2a3A114,rtA2a3A115,rtA2a3A116,rtA2a3A117,rtA2a3A118,rtA2a3A119,rtA2a3A120,rtA2a3A121,rtA2a3A122,rtA2a3A123,rtA2a3A124,rtA2a3A125,rtA2a3A126,rtA2a3A127,rtA2a3A128,rtA2a3A129,rtA2a3A130,rtA2a3A131,rtA2a3A132,rtA2a3A133,rtA2a3A134,rtA2a3A135,rtA2a3A136,rtA2a3A137,rtA2a3A138,rtA2a3A139,rtA2a3A140,rtA2a3A141,rtA2a3A142,rtA2a3A143,rtA2a3A144,rtA2a3A145,rtA2a3A146,rtA2a3A147,rtA2a3A148,rtA2a3A149,rtA2a3A150,rtA2a3A151,rtA2a3A152,rtA2a3A153,rtA2a3A154,rtA2a3A155,rtA2a3A156,rtA2a3A157,rtA2a3A158,rtA2a3A159,rtA2a3A160,rtA2a3A161,rtA2a3A162,rtA2a3A163,rtA2a3A164,rtA2a3A165,rtA2a3A166,rtA2a3A167,rtA2a3A168,rtA2a3A169,rtA2a3A170,rtA2a3A171,rtA2a3A172,rtA2a3A173,rtA2a3A174,rtA2a3A175,rtA2a3A176,rtA2a3A177,rtA2a3A178,rtA2a3A179,rtA2a3A180,rtA2a3A181,rtA2a3A182,rtA2a3A183,rtA2a3A184,rtA2a3A185,rtA2a3A186,rtA2a3A187,rtA2a3A188,rtA2a3A189,rtA2a3A190,rtA2a3A191,rtA2a3A192,rtA2a3A193,rtA2a3A194,rtA2a3A195,rtA2a3A196,rtA2a3A197,rtA2a3A198,rtA2a3A199,rtA2a3A200,rtA2a3A201,rtA2a3A202,rtA2a3A203,rtA2a3A204,rtA2a3A205,rtA2a3A206,rtA2a3A207,rtA2a3A208,rtA2a3A209,rtA2a3A210,rtA2a3A211,rtA2a3A212,rtA2a3A213,rtA2a3A214,rtA2a3A215,rtA2a3A216,rtA2a3A217,rtA2a3A218,rtA2a3A219,rtA2a3A220,rtA2a3A221,rtA2a3A222,rtA2a3A223,rtA2a3A224,rtA2a3A225,rtA2a3A226,rtA2a3A227,rtA2a3A228,rtA2a3A229,rtA2a3A230,rtA2a3A231,rtA2a3A232,rtA2a3A233,rtA2a3A234,rtA2a3A235,rtA2a3A236,rtA2a3A237,rtA2a3A238,rtA2a3A239,rtA2a3A240,rtA2a3A241,rtA2a3A242,rtA2a3A243,rtA2a3A244,rtA2a3A245,rtA2a3A246,rtA2a3A247,rtA2a3A248,rtA2a3A249,rtA2a3A250,rtA2a3A251,rtA2a3A252,rtA2a3A253,rtA2a3A254,rtA2a3A255,rtA2a3A256,rtA2a3A257,rtA2a3A258,rtA2a3A259,rtA2a3A260,rtA2a3A261,rtA2a3A262,rtA2a3A263,rtA2a3A264,rtA2a3A265,rtA2a3A266,rtA2a3A267,rtA2a3A268,rtA2a3A269,rtA2a3A270,rtA2a3A271,rtA2a3A272,rtA2a3A273,rtA2a3A274,rtA2a3A275,rtA2a3A276,rtA2a3A277,rtA2a3A278,rtA2a3A279,rtA2a3A280,rtA2a3A281,rtA2a3A282,rtA2a3A283,rtA2a3A284,rtA2a3A285,rtA2a3A286,rtA2a3A287,rtA2a3A288,rtA2a3A289,rtA2a3A290,rtA2a3A291,rtA2a3A292,rtA2a3A293,rtA2a3A294,rtA2a3A295,rtA2a3A296,rtA2a3A297,rtA2a3A298,rtA2a3A299,rtA2a3A300
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,188,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,192,192,192,192,192,192,192,192,192,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
