nullid0,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96,id97,id98,id99,id100,id101,id102,id103,id104,id105,id106,id107,id108,id109,id110,id111,id112,id113,id114,id115,id116,id117,id118,id119,id120,id121,id122,id123,id124,id125,id126,id127,id128,id129,id130,id131,id132,id133,id134,id135,id136,id137,id138,id139,id140,id141,id142,id143,id144,id145,id146,id147,id148,id149,id150,id151,id152,id153,id154,id155,id156,id157,id158,id159,id160,id161,id162,id163,id164,id165,id166,id167,id168,id169,id170,id171,id172,id173,id174,id175,id176,id177,id178,id179,id180,id181,id182,id183,id184,id185,id186,id187,id188,id189,id190,id191,id192,id193,id194,id195,id196,id197,id198,id199,id200,id201,id202,id203,id204,id205,id206,id207,id208,id209,id210,id211,id212,id213,id214,id215,id216,id217,id218,id219,id220,id221,id222,id223,id224,id225,id226,id227,id228,id229,id230,id231,id232,id233,id234,id235,id236,id237,id238,id239,id240,id241,id242,id243,id244,id245,id246,id247,id248,id249,id250,id251,id252,id253,id254,id255,id256,id257,id258,id259,id260,id261,id262,id263,id264,id265,id266,id267,id268,id269,id270,id271,id272,id273,id274,id275,id276,id277,id278,id279,id280,id281,id282,id283,id284,id285,id286,id287,id288,id289,id290,id291,id292,id293,id294,id295,id296,id297,id298,id299,id300
n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0,n0
n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1,n1
n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2,n2
n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3,n3
n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4
n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6,n6
n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9,n9
n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10,n10
n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12,n12
n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13,n13
