nullrtA1a0,rtA1a1,rtA1a2,rtA1a3,rtA1a4,rtA1a5,rtA1a6,rtA1a7,rtA1a8,rtA1a9,rtA1a10,rtA1a11,rtA1a12,rtA1a13,rtA1a14,rtA1a15,rtA1a16,rtA1a17,rtA1a18,rtA1a19,rtA1a20,rtA1a21,rtA1a22,rtA1a23,rtA1a24,rtA1a25,rtA1a26,rtA1a27,rtA1a28,rtA1a29,rtA1a30,rtA1a31,rtA1a32,rtA1a33,rtA1a34,rtA1a35,rtA1a36,rtA1a37,rtA1a38,rtA1a39,rtA1a40,rtA1a41,rtA1a42,rtA1a43,rtA1a44,rtA1a45,rtA1a46,rtA1a47,rtA1a48,rtA1a49,rtA1a50,rtA1a51,rtA1a52,rtA1a53,rtA1a54,rtA1a55,rtA1a56,rtA1a57,rtA1a58,rtA1a59,rtA1a60,rtA1a61,rtA1a62,rtA1a63,rtA1a64,rtA1a65,rtA1a66,rtA1a67,rtA1a68,rtA1a69,rtA1a70,rtA1a71,rtA1a72,rtA1a73,rtA1a74,rtA1a75,rtA1a76,rtA1a77,rtA1a78,rtA1a79,rtA1a80,rtA1a81,rtA1a82,rtA1a83,rtA1a84,rtA1a85,rtA1a86,rtA1a87,rtA1a88,rtA1a89,rtA1a90,rtA1a91,rtA1a92,rtA1a93,rtA1a94,rtA1a95,rtA1a96,rtA1a97,rtA1a98,rtA1a99,rtA1a100,rtA1a101,rtA1a102,rtA1a103,rtA1a104,rtA1a105,rtA1a106,rtA1a107,rtA1a108,rtA1a109,rtA1a110,rtA1a111,rtA1a112,rtA1a113,rtA1a114,rtA1a115,rtA1a116,rtA1a117,rtA1a118,rtA1a119,rtA1a120,rtA1a121,rtA1a122,rtA1a123,rtA1a124,rtA1a125,rtA1a126,rtA1a127,rtA1a128,rtA1a129,rtA1a130,rtA1a131,rtA1a132,rtA1a133,rtA1a134,rtA1a135,rtA1a136,rtA1a137,rtA1a138,rtA1a139,rtA1a140,rtA1a141,rtA1a142,rtA1a143,rtA1a144,rtA1a145,rtA1a146,rtA1a147,rtA1a148,rtA1a149,rtA1a150,rtA1a151,rtA1a152,rtA1a153,rtA1a154,rtA1a155,rtA1a156,rtA1a157,rtA1a158,rtA1a159,rtA1a160,rtA1a161,rtA1a162,rtA1a163,rtA1a164,rtA1a165,rtA1a166,rtA1a167,rtA1a168,rtA1a169,rtA1a170,rtA1a171,rtA1a172,rtA1a173,rtA1a174,rtA1a175,rtA1a176,rtA1a177,rtA1a178,rtA1a179,rtA1a180,rtA1a181,rtA1a182,rtA1a183,rtA1a184,rtA1a185,rtA1a186,rtA1a187,rtA1a188,rtA1a189,rtA1a190,rtA1a191,rtA1a192,rtA1a193,rtA1a194,rtA1a195,rtA1a196,rtA1a197,rtA1a198,rtA1a199,rtA1a200,rtA1a201,rtA1a202,rtA1a203,rtA1a204,rtA1a205,rtA1a206,rtA1a207,rtA1a208,rtA1a209,rtA1a210,rtA1a211,rtA1a212,rtA1a213,rtA1a214,rtA1a215,rtA1a216,rtA1a217,rtA1a218,rtA1a219,rtA1a220,rtA1a221,rtA1a222,rtA1a223,rtA1a224,rtA1a225,rtA1a226,rtA1a227,rtA1a228,rtA1a229,rtA1a230,rtA1a231,rtA1a232,rtA1a233,rtA1a234,rtA1a235,rtA1a236,rtA1a237,rtA1a238,rtA1a239,rtA1a240,rtA1a241,rtA1a242,rtA1a243,rtA1a244,rtA1a245,rtA1a246,rtA1a247,rtA1a248,rtA1a249,rtA1a250,rtA1a251,rtA1a252,rtA1a253,rtA1a254,rtA1a255,rtA1a256,rtA1a257,rtA1a258,rtA1a259,rtA1a260,rtA1a261,rtA1a262,rtA1a263,rtA1a264,rtA1a265,rtA1a266,rtA1a267,rtA1a268,rtA1a269,rtA1a270,rtA1a271,rtA1a272,rtA1a273,rtA1a274,rtA1a275,rtA1a276,rtA1a277,rtA1a278,rtA1a279,rtA1a280,rtA1a281,rtA1a282,rtA1a283,rtA1a284,rtA1a285,rtA1a286,rtA1a287,rtA1a288,rtA1a289,rtA1a290,rtA1a291,rtA1a292,rtA1a293,rtA1a294,rtA1a295,rtA1a296,rtA1a297,rtA1a298,rtA1a299,rtA1a300
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
0,89,855,29211,29516,29826,30128,30471,30955,31451,31956,32453,32953,1164,33461,33999,34599,35202,35808,36423,37123,37837,38535,39236,1466,39929,40630,41331,42040,42734,43442,44135,44840,45548,46248,1769,46948,47648,48341,49048,49751,50457,51161,51862,52575,53275,2172,53984,54649,55344,56056,56756,57394,58000,58600,59194,59801,2529,60401,60747,60949,61152,61355,61557,61775,61978,62178,62380,2834,62578,62780,62996,63194,63396,63600,63800,63999,64201,64403,2993,64615,64821,64940,65041,65141,65242,65348,65369,65371,65372,3095,65372,65381,65381,65384,65386,65388,65403,65409,65415,65415,3233,65415,65460,65629,65792,65856,65858,65859,65859,65859,65859,200,3431,65859,65910,65933,65933,65940,65949,66102,66203,66289,66295,3633,66298,66305,66311,66311,66316,66319,66321,66321,66331,66546,3833,66546,66546,66546,66622,66728,66832,66932,67031,67132,67485,4023,67838,68188,68453,68706,69036,69730,69769,69774,69774,69775,4126,69775,69777,69777,69777,69779,69781,69781,69784,69784,69784,4458,69785,69786,69786,69813,69923,70024,70041,70043,70043,70059,4858,70062,70062,70063,70064,70068,70069,70070,70083,70085,70086,5260,70086,70089,70090,70091,70095,70095,70096,70100,70100,70103,5660,70105,70120,70121,70121,70126,70126,70130,70131,70131,70131,6065,70131,70131,70159,70160,70160,70161,70177,70181,70182,70184,301,6470,70184,6881,7282,7686,8091,8491,8891,9383,9878,10302,401,10702,11107,11525,11942,12362,12763,13164,13566,13966,14366,507,14740,15041,15345,15716,16124,16531,16931,17327,17714,18077,512,18480,18782,19079,19379,19682,19959,20159,20370,20669,20970,512,21279,21583,21884,22188,22485,22789,23087,23387,23693,23992,514,24297,24596,24903,25037,25136,25240,25341,25451,25568,25874,589,26177,26489,26786,27087,27389,27697,27994,28295,28598,28911
