nullrtA1c0,rtA1c1,rtA1c2,rtA1c3,rtA1c4,rtA1c5,rtA1c6,rtA1c7,rtA1c8,rtA1c9,rtA1c10,rtA1c11,rtA1c12,rtA1c13,rtA1c14,rtA1c15,rtA1c16,rtA1c17,rtA1c18,rtA1c19,rtA1c20,rtA1c21,rtA1c22,rtA1c23,rtA1c24,rtA1c25,rtA1c26,rtA1c27,rtA1c28,rtA1c29,rtA1c30,rtA1c31,rtA1c32,rtA1c33,rtA1c34,rtA1c35,rtA1c36,rtA1c37,rtA1c38,rtA1c39,rtA1c40,rtA1c41,rtA1c42,rtA1c43,rtA1c44,rtA1c45,rtA1c46,rtA1c47,rtA1c48,rtA1c49,rtA1c50,rtA1c51,rtA1c52,rtA1c53,rtA1c54,rtA1c55,rtA1c56,rtA1c57,rtA1c58,rtA1c59,rtA1c60,rtA1c61,rtA1c62,rtA1c63,rtA1c64,rtA1c65,rtA1c66,rtA1c67,rtA1c68,rtA1c69,rtA1c70,rtA1c71,rtA1c72,rtA1c73,rtA1c74,rtA1c75,rtA1c76,rtA1c77,rtA1c78,rtA1c79,rtA1c80,rtA1c81,rtA1c82,rtA1c83,rtA1c84,rtA1c85,rtA1c86,rtA1c87,rtA1c88,rtA1c89,rtA1c90,rtA1c91,rtA1c92,rtA1c93,rtA1c94,rtA1c95,rtA1c96,rtA1c97,rtA1c98,rtA1c99,rtA1c100,rtA1c101,rtA1c102,rtA1c103,rtA1c104,rtA1c105,rtA1c106,rtA1c107,rtA1c108,rtA1c109,rtA1c110,rtA1c111,rtA1c112,rtA1c113,rtA1c114,rtA1c115,rtA1c116,rtA1c117,rtA1c118,rtA1c119,rtA1c120,rtA1c121,rtA1c122,rtA1c123,rtA1c124,rtA1c125,rtA1c126,rtA1c127,rtA1c128,rtA1c129,rtA1c130,rtA1c131,rtA1c132,rtA1c133,rtA1c134,rtA1c135,rtA1c136,rtA1c137,rtA1c138,rtA1c139,rtA1c140,rtA1c141,rtA1c142,rtA1c143,rtA1c144,rtA1c145,rtA1c146,rtA1c147,rtA1c148,rtA1c149,rtA1c150,rtA1c151,rtA1c152,rtA1c153,rtA1c154,rtA1c155,rtA1c156,rtA1c157,rtA1c158,rtA1c159,rtA1c160,rtA1c161,rtA1c162,rtA1c163,rtA1c164,rtA1c165,rtA1c166,rtA1c167,rtA1c168,rtA1c169,rtA1c170,rtA1c171,rtA1c172,rtA1c173,rtA1c174,rtA1c175,rtA1c176,rtA1c177,rtA1c178,rtA1c179,rtA1c180,rtA1c181,rtA1c182,rtA1c183,rtA1c184,rtA1c185,rtA1c186,rtA1c187,rtA1c188,rtA1c189,rtA1c190,rtA1c191,rtA1c192,rtA1c193,rtA1c194,rtA1c195,rtA1c196,rtA1c197,rtA1c198,rtA1c199,rtA1c200,rtA1c201,rtA1c202,rtA1c203,rtA1c204,rtA1c205,rtA1c206,rtA1c207,rtA1c208,rtA1c209,rtA1c210,rtA1c211,rtA1c212,rtA1c213,rtA1c214,rtA1c215,rtA1c216,rtA1c217,rtA1c218,rtA1c219,rtA1c220,rtA1c221,rtA1c222,rtA1c223,rtA1c224,rtA1c225,rtA1c226,rtA1c227,rtA1c228,rtA1c229,rtA1c230,rtA1c231,rtA1c232,rtA1c233,rtA1c234,rtA1c235,rtA1c236,rtA1c237,rtA1c238,rtA1c239,rtA1c240,rtA1c241,rtA1c242,rtA1c243,rtA1c244,rtA1c245,rtA1c246,rtA1c247,rtA1c248,rtA1c249,rtA1c250,rtA1c251,rtA1c252,rtA1c253,rtA1c254,rtA1c255,rtA1c256,rtA1c257,rtA1c258,rtA1c259,rtA1c260,rtA1c261,rtA1c262,rtA1c263,rtA1c264,rtA1c265,rtA1c266,rtA1c267,rtA1c268,rtA1c269,rtA1c270,rtA1c271,rtA1c272,rtA1c273,rtA1c274,rtA1c275,rtA1c276,rtA1c277,rtA1c278,rtA1c279,rtA1c280,rtA1c281,rtA1c282,rtA1c283,rtA1c284,rtA1c285,rtA1c286,rtA1c287,rtA1c288,rtA1c289,rtA1c290,rtA1c291,rtA1c292,rtA1c293,rtA1c294,rtA1c295,rtA1c296,rtA1c297,rtA1c298,rtA1c299,rtA1c300
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
0,1201,8436,15384,15485,15586,15686,15785,15805,15809,15810,15811,15811,8688,15812,15812,15812,15812,15812,15812,15813,15814,15815,15820,8938,15821,15821,15822,15822,15822,15822,15823,15824,15824,15825,9190,15826,15826,15826,15826,15827,15829,15829,15829,15829,15829,9438,15830,15830,15830,15830,15830,15830,15830,15830,15830,15850,9688,15900,15952,16007,16057,16107,16158,16208,16443,16904,17243,9843,17549,17865,18178,18497,18821,19144,19472,19798,20123,20439,9993,20584,20685,20785,20893,20993,21341,21633,21733,21878,22080,10143,22280,22482,22611,22709,22714,22714,22714,22714,22714,22714,10294,22714,23076,23336,23496,23510,23583,23709,23835,23922,24116,2329,10443,24569,25021,25567,26122,26541,26945,26976,26976,27012,27162,10594,27326,27485,27663,27913,28167,28426,28676,28926,29101,29251,10744,29379,29479,29501,29501,29501,29501,29501,29501,29502,29584,10895,29685,29785,29884,29985,30054,30136,32666,35646,38483,41310,11045,44113,46801,49578,52498,55559,58433,61120,63713,66299,68819,11158,71264,73165,73907,74468,74944,75444,75945,76445,76950,79159,11258,81391,83611,85811,88011,90183,92478,94907,97094,99162,101163,11360,101763,102419,103121,103821,104535,105235,106029,107133,108233,109344,11460,110433,111455,112558,113669,114758,115858,116907,117898,118911,119917,11560,120917,121907,122858,123616,124373,125009,125559,126103,126659,127203,3560,11661,127759,11760,11860,11961,12061,12161,12261,12361,12460,12560,4810,12660,12761,12861,12961,13060,13160,13260,13360,13460,13561,6072,13631,13631,13631,13632,13632,13632,13632,13632,13632,13632,6516,13632,13632,13632,13632,13632,13632,13632,13632,13632,13632,7012,13632,13632,13632,13632,13633,13633,13633,13633,13633,13633,7516,13651,13651,13651,13651,13651,13654,13654,13654,13654,13654,8016,13654,13947,14225,14476,14706,14879,14978,15078,15178,15284
