nullrtA1c2b0,rtA1c2b1,rtA1c2b2,rtA1c2b3,rtA1c2b4,rtA1c2b5,rtA1c2b6,rtA1c2b7,rtA1c2b8,rtA1c2b9,rtA1c2b10,rtA1c2b11,rtA1c2b12,rtA1c2b13,rtA1c2b14,rtA1c2b15,rtA1c2b16,rtA1c2b17,rtA1c2b18,rtA1c2b19,rtA1c2b20,rtA1c2b21,rtA1c2b22,rtA1c2b23,rtA1c2b24,rtA1c2b25,rtA1c2b26,rtA1c2b27,rtA1c2b28,rtA1c2b29,rtA1c2b30,rtA1c2b31,rtA1c2b32,rtA1c2b33,rtA1c2b34,rtA1c2b35,rtA1c2b36,rtA1c2b37,rtA1c2b38,rtA1c2b39,rtA1c2b40,rtA1c2b41,rtA1c2b42,rtA1c2b43,rtA1c2b44,rtA1c2b45,rtA1c2b46,rtA1c2b47,rtA1c2b48,rtA1c2b49,rtA1c2b50,rtA1c2b51,rtA1c2b52,rtA1c2b53,rtA1c2b54,rtA1c2b55,rtA1c2b56,rtA1c2b57,rtA1c2b58,rtA1c2b59,rtA1c2b60,rtA1c2b61,rtA1c2b62,rtA1c2b63,rtA1c2b64,rtA1c2b65,rtA1c2b66,rtA1c2b67,rtA1c2b68,rtA1c2b69,rtA1c2b70,rtA1c2b71,rtA1c2b72,rtA1c2b73,rtA1c2b74,rtA1c2b75,rtA1c2b76,rtA1c2b77,rtA1c2b78,rtA1c2b79,rtA1c2b80,rtA1c2b81,rtA1c2b82,rtA1c2b83,rtA1c2b84,rtA1c2b85,rtA1c2b86,rtA1c2b87,rtA1c2b88,rtA1c2b89,rtA1c2b90,rtA1c2b91,rtA1c2b92,rtA1c2b93,rtA1c2b94,rtA1c2b95,rtA1c2b96,rtA1c2b97,rtA1c2b98,rtA1c2b99,rtA1c2b100,rtA1c2b101,rtA1c2b102,rtA1c2b103,rtA1c2b104,rtA1c2b105,rtA1c2b106,rtA1c2b107,rtA1c2b108,rtA1c2b109,rtA1c2b110,rtA1c2b111,rtA1c2b112,rtA1c2b113,rtA1c2b114,rtA1c2b115,rtA1c2b116,rtA1c2b117,rtA1c2b118,rtA1c2b119,rtA1c2b120,rtA1c2b121,rtA1c2b122,rtA1c2b123,rtA1c2b124,rtA1c2b125,rtA1c2b126,rtA1c2b127,rtA1c2b128,rtA1c2b129,rtA1c2b130,rtA1c2b131,rtA1c2b132,rtA1c2b133,rtA1c2b134,rtA1c2b135,rtA1c2b136,rtA1c2b137,rtA1c2b138,rtA1c2b139,rtA1c2b140,rtA1c2b141,rtA1c2b142,rtA1c2b143,rtA1c2b144,rtA1c2b145,rtA1c2b146,rtA1c2b147,rtA1c2b148,rtA1c2b149,rtA1c2b150,rtA1c2b151,rtA1c2b152,rtA1c2b153,rtA1c2b154,rtA1c2b155,rtA1c2b156,rtA1c2b157,rtA1c2b158,rtA1c2b159,rtA1c2b160,rtA1c2b161,rtA1c2b162,rtA1c2b163,rtA1c2b164,rtA1c2b165,rtA1c2b166,rtA1c2b167,rtA1c2b168,rtA1c2b169,rtA1c2b170,rtA1c2b171,rtA1c2b172,rtA1c2b173,rtA1c2b174,rtA1c2b175,rtA1c2b176,rtA1c2b177,rtA1c2b178,rtA1c2b179,rtA1c2b180,rtA1c2b181,rtA1c2b182,rtA1c2b183,rtA1c2b184,rtA1c2b185,rtA1c2b186,rtA1c2b187,rtA1c2b188,rtA1c2b189,rtA1c2b190,rtA1c2b191,rtA1c2b192,rtA1c2b193,rtA1c2b194,rtA1c2b195,rtA1c2b196,rtA1c2b197,rtA1c2b198,rtA1c2b199,rtA1c2b200,rtA1c2b201,rtA1c2b202,rtA1c2b203,rtA1c2b204,rtA1c2b205,rtA1c2b206,rtA1c2b207,rtA1c2b208,rtA1c2b209,rtA1c2b210,rtA1c2b211,rtA1c2b212,rtA1c2b213,rtA1c2b214,rtA1c2b215,rtA1c2b216,rtA1c2b217,rtA1c2b218,rtA1c2b219,rtA1c2b220,rtA1c2b221,rtA1c2b222,rtA1c2b223,rtA1c2b224,rtA1c2b225,rtA1c2b226,rtA1c2b227,rtA1c2b228,rtA1c2b229,rtA1c2b230,rtA1c2b231,rtA1c2b232,rtA1c2b233,rtA1c2b234,rtA1c2b235,rtA1c2b236,rtA1c2b237,rtA1c2b238,rtA1c2b239,rtA1c2b240,rtA1c2b241,rtA1c2b242,rtA1c2b243,rtA1c2b244,rtA1c2b245,rtA1c2b246,rtA1c2b247,rtA1c2b248,rtA1c2b249,rtA1c2b250,rtA1c2b251,rtA1c2b252,rtA1c2b253,rtA1c2b254,rtA1c2b255,rtA1c2b256,rtA1c2b257,rtA1c2b258,rtA1c2b259,rtA1c2b260,rtA1c2b261,rtA1c2b262,rtA1c2b263,rtA1c2b264,rtA1c2b265,rtA1c2b266,rtA1c2b267,rtA1c2b268,rtA1c2b269,rtA1c2b270,rtA1c2b271,rtA1c2b272,rtA1c2b273,rtA1c2b274,rtA1c2b275,rtA1c2b276,rtA1c2b277,rtA1c2b278,rtA1c2b279,rtA1c2b280,rtA1c2b281,rtA1c2b282,rtA1c2b283,rtA1c2b284,rtA1c2b285,rtA1c2b286,rtA1c2b287,rtA1c2b288,rtA1c2b289,rtA1c2b290,rtA1c2b291,rtA1c2b292,rtA1c2b293,rtA1c2b294,rtA1c2b295,rtA1c2b296,rtA1c2b297,rtA1c2b298,rtA1c2b299,rtA1c2b300
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
0,253,2357,7221,7221,7221,7221,7221,7221,7221,7221,7222,7222,2506,7222,7222,7222,7222,7222,7222,7222,7222,7222,7226,2656,7227,7227,7228,7228,7228,7228,7228,7229,7229,7229,2807,7229,7229,7229,7229,7229,7231,7231,7231,7231,7231,2956,7231,7231,7231,7231,7231,7231,7231,7231,7231,7231,3106,7231,7232,7233,7233,7233,7234,7234,7274,7376,7476,3256,7575,7675,7777,7897,8019,8139,8267,8395,8518,8635,3406,8731,8832,8931,9034,9134,9318,9481,9581,9726,9928,3556,10128,10329,10458,10556,10557,10557,10557,10557,10557,10557,3707,10557,10766,10927,11008,11022,11094,11220,11343,11429,11498,503,3856,11699,11901,12099,12301,12499,12701,12717,12717,12731,12831,4007,12932,13034,13161,13361,13561,13763,13963,14163,14289,14389,4156,14490,14590,14611,14611,14611,14611,14611,14611,14611,14613,4307,14613,14613,14613,14613,14613,14653,15499,16552,17516,18465,4457,19405,20397,21436,22486,23628,24722,25728,26685,27635,28572,4570,29532,30387,30832,31093,31196,31296,31397,31497,31599,32503,4670,33403,34311,35211,36111,37002,37902,38802,39625,40392,41095,4771,41297,41499,41699,41899,42099,42297,42520,42822,43122,43425,4871,43722,44022,44322,44625,44922,45222,45525,45823,46126,46430,4971,46730,47027,47337,47544,47744,47944,48144,48342,48544,48742,751,5072,48944,5171,5271,5372,5472,5572,5672,5772,5871,5971,1001,6071,6172,6272,6372,6471,6571,6671,6771,6871,6971,1253,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1415,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1663,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,1915,7042,7042,7042,7042,7042,7043,7043,7043,7043,7043,2163,7043,7090,7140,7190,7221,7221,7221,7221,7221,7221
