nullrtA2a1B10,rtA2a1B11,rtA2a1B12,rtA2a1B13,rtA2a1B14,rtA2a1B15,rtA2a1B16,rtA2a1B17,rtA2a1B18,rtA2a1B19,rtA2a1B110,rtA2a1B111,rtA2a1B112,rtA2a1B113,rtA2a1B114,rtA2a1B115,rtA2a1B116,rtA2a1B117,rtA2a1B118,rtA2a1B119,rtA2a1B120,rtA2a1B121,rtA2a1B122,rtA2a1B123,rtA2a1B124,rtA2a1B125,rtA2a1B126,rtA2a1B127,rtA2a1B128,rtA2a1B129,rtA2a1B130,rtA2a1B131,rtA2a1B132,rtA2a1B133,rtA2a1B134,rtA2a1B135,rtA2a1B136,rtA2a1B137,rtA2a1B138,rtA2a1B139,rtA2a1B140,rtA2a1B141,rtA2a1B142,rtA2a1B143,rtA2a1B144,rtA2a1B145,rtA2a1B146,rtA2a1B147,rtA2a1B148,rtA2a1B149,rtA2a1B150,rtA2a1B151,rtA2a1B152,rtA2a1B153,rtA2a1B154,rtA2a1B155,rtA2a1B156,rtA2a1B157,rtA2a1B158,rtA2a1B159,rtA2a1B160,rtA2a1B161,rtA2a1B162,rtA2a1B163,rtA2a1B164,rtA2a1B165,rtA2a1B166,rtA2a1B167,rtA2a1B168,rtA2a1B169,rtA2a1B170,rtA2a1B171,rtA2a1B172,rtA2a1B173,rtA2a1B174,rtA2a1B175,rtA2a1B176,rtA2a1B177,rtA2a1B178,rtA2a1B179,rtA2a1B180,rtA2a1B181,rtA2a1B182,rtA2a1B183,rtA2a1B184,rtA2a1B185,rtA2a1B186,rtA2a1B187,rtA2a1B188,rtA2a1B189,rtA2a1B190,rtA2a1B191,rtA2a1B192,rtA2a1B193,rtA2a1B194,rtA2a1B195,rtA2a1B196,rtA2a1B197,rtA2a1B198,rtA2a1B199,rtA2a1B1100,rtA2a1B1101,rtA2a1B1102,rtA2a1B1103,rtA2a1B1104,rtA2a1B1105,rtA2a1B1106,rtA2a1B1107,rtA2a1B1108,rtA2a1B1109,rtA2a1B1110,rtA2a1B1111,rtA2a1B1112,rtA2a1B1113,rtA2a1B1114,rtA2a1B1115,rtA2a1B1116,rtA2a1B1117,rtA2a1B1118,rtA2a1B1119,rtA2a1B1120,rtA2a1B1121,rtA2a1B1122,rtA2a1B1123,rtA2a1B1124,rtA2a1B1125,rtA2a1B1126,rtA2a1B1127,rtA2a1B1128,rtA2a1B1129,rtA2a1B1130,rtA2a1B1131,rtA2a1B1132,rtA2a1B1133,rtA2a1B1134,rtA2a1B1135,rtA2a1B1136,rtA2a1B1137,rtA2a1B1138,rtA2a1B1139,rtA2a1B1140,rtA2a1B1141,rtA2a1B1142,rtA2a1B1143,rtA2a1B1144,rtA2a1B1145,rtA2a1B1146,rtA2a1B1147,rtA2a1B1148,rtA2a1B1149,rtA2a1B1150,rtA2a1B1151,rtA2a1B1152,rtA2a1B1153,rtA2a1B1154,rtA2a1B1155,rtA2a1B1156,rtA2a1B1157,rtA2a1B1158,rtA2a1B1159,rtA2a1B1160,rtA2a1B1161,rtA2a1B1162,rtA2a1B1163,rtA2a1B1164,rtA2a1B1165,rtA2a1B1166,rtA2a1B1167,rtA2a1B1168,rtA2a1B1169,rtA2a1B1170,rtA2a1B1171,rtA2a1B1172,rtA2a1B1173,rtA2a1B1174,rtA2a1B1175,rtA2a1B1176,rtA2a1B1177,rtA2a1B1178,rtA2a1B1179,rtA2a1B1180,rtA2a1B1181,rtA2a1B1182,rtA2a1B1183,rtA2a1B1184,rtA2a1B1185,rtA2a1B1186,rtA2a1B1187,rtA2a1B1188,rtA2a1B1189,rtA2a1B1190,rtA2a1B1191,rtA2a1B1192,rtA2a1B1193,rtA2a1B1194,rtA2a1B1195,rtA2a1B1196,rtA2a1B1197,rtA2a1B1198,rtA2a1B1199,rtA2a1B1200,rtA2a1B1201,rtA2a1B1202,rtA2a1B1203,rtA2a1B1204,rtA2a1B1205,rtA2a1B1206,rtA2a1B1207,rtA2a1B1208,rtA2a1B1209,rtA2a1B1210,rtA2a1B1211,rtA2a1B1212,rtA2a1B1213,rtA2a1B1214,rtA2a1B1215,rtA2a1B1216,rtA2a1B1217,rtA2a1B1218,rtA2a1B1219,rtA2a1B1220,rtA2a1B1221,rtA2a1B1222,rtA2a1B1223,rtA2a1B1224,rtA2a1B1225,rtA2a1B1226,rtA2a1B1227,rtA2a1B1228,rtA2a1B1229,rtA2a1B1230,rtA2a1B1231,rtA2a1B1232,rtA2a1B1233,rtA2a1B1234,rtA2a1B1235,rtA2a1B1236,rtA2a1B1237,rtA2a1B1238,rtA2a1B1239,rtA2a1B1240,rtA2a1B1241,rtA2a1B1242,rtA2a1B1243,rtA2a1B1244,rtA2a1B1245,rtA2a1B1246,rtA2a1B1247,rtA2a1B1248,rtA2a1B1249,rtA2a1B1250,rtA2a1B1251,rtA2a1B1252,rtA2a1B1253,rtA2a1B1254,rtA2a1B1255,rtA2a1B1256,rtA2a1B1257,rtA2a1B1258,rtA2a1B1259,rtA2a1B1260,rtA2a1B1261,rtA2a1B1262,rtA2a1B1263,rtA2a1B1264,rtA2a1B1265,rtA2a1B1266,rtA2a1B1267,rtA2a1B1268,rtA2a1B1269,rtA2a1B1270,rtA2a1B1271,rtA2a1B1272,rtA2a1B1273,rtA2a1B1274,rtA2a1B1275,rtA2a1B1276,rtA2a1B1277,rtA2a1B1278,rtA2a1B1279,rtA2a1B1280,rtA2a1B1281,rtA2a1B1282,rtA2a1B1283,rtA2a1B1284,rtA2a1B1285,rtA2a1B1286,rtA2a1B1287,rtA2a1B1288,rtA2a1B1289,rtA2a1B1290,rtA2a1B1291,rtA2a1B1292,rtA2a1B1293,rtA2a1B1294,rtA2a1B1295,rtA2a1B1296,rtA2a1B1297,rtA2a1B1298,rtA2a1B1299,rtA2a1B1300
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
0,994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,1994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,2984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,3984,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,4994,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004,5004
