nullrtA2a1A20,rtA2a1A21,rtA2a1A22,rtA2a1A23,rtA2a1A24,rtA2a1A25,rtA2a1A26,rtA2a1A27,rtA2a1A28,rtA2a1A29,rtA2a1A210,rtA2a1A211,rtA2a1A212,rtA2a1A213,rtA2a1A214,rtA2a1A215,rtA2a1A216,rtA2a1A217,rtA2a1A218,rtA2a1A219,rtA2a1A220,rtA2a1A221,rtA2a1A222,rtA2a1A223,rtA2a1A224,rtA2a1A225,rtA2a1A226,rtA2a1A227,rtA2a1A228,rtA2a1A229,rtA2a1A230,rtA2a1A231,rtA2a1A232,rtA2a1A233,rtA2a1A234,rtA2a1A235,rtA2a1A236,rtA2a1A237,rtA2a1A238,rtA2a1A239,rtA2a1A240,rtA2a1A241,rtA2a1A242,rtA2a1A243,rtA2a1A244,rtA2a1A245,rtA2a1A246,rtA2a1A247,rtA2a1A248,rtA2a1A249,rtA2a1A250,rtA2a1A251,rtA2a1A252,rtA2a1A253,rtA2a1A254,rtA2a1A255,rtA2a1A256,rtA2a1A257,rtA2a1A258,rtA2a1A259,rtA2a1A260,rtA2a1A261,rtA2a1A262,rtA2a1A263,rtA2a1A264,rtA2a1A265,rtA2a1A266,rtA2a1A267,rtA2a1A268,rtA2a1A269,rtA2a1A270,rtA2a1A271,rtA2a1A272,rtA2a1A273,rtA2a1A274,rtA2a1A275,rtA2a1A276,rtA2a1A277,rtA2a1A278,rtA2a1A279,rtA2a1A280,rtA2a1A281,rtA2a1A282,rtA2a1A283,rtA2a1A284,rtA2a1A285,rtA2a1A286,rtA2a1A287,rtA2a1A288,rtA2a1A289,rtA2a1A290,rtA2a1A291,rtA2a1A292,rtA2a1A293,rtA2a1A294,rtA2a1A295,rtA2a1A296,rtA2a1A297,rtA2a1A298,rtA2a1A299,rtA2a1A2100,rtA2a1A2101,rtA2a1A2102,rtA2a1A2103,rtA2a1A2104,rtA2a1A2105,rtA2a1A2106,rtA2a1A2107,rtA2a1A2108,rtA2a1A2109,rtA2a1A2110,rtA2a1A2111,rtA2a1A2112,rtA2a1A2113,rtA2a1A2114,rtA2a1A2115,rtA2a1A2116,rtA2a1A2117,rtA2a1A2118,rtA2a1A2119,rtA2a1A2120,rtA2a1A2121,rtA2a1A2122,rtA2a1A2123,rtA2a1A2124,rtA2a1A2125,rtA2a1A2126,rtA2a1A2127,rtA2a1A2128,rtA2a1A2129,rtA2a1A2130,rtA2a1A2131,rtA2a1A2132,rtA2a1A2133,rtA2a1A2134,rtA2a1A2135,rtA2a1A2136,rtA2a1A2137,rtA2a1A2138,rtA2a1A2139,rtA2a1A2140,rtA2a1A2141,rtA2a1A2142,rtA2a1A2143,rtA2a1A2144,rtA2a1A2145,rtA2a1A2146,rtA2a1A2147,rtA2a1A2148,rtA2a1A2149,rtA2a1A2150,rtA2a1A2151,rtA2a1A2152,rtA2a1A2153,rtA2a1A2154,rtA2a1A2155,rtA2a1A2156,rtA2a1A2157,rtA2a1A2158,rtA2a1A2159,rtA2a1A2160,rtA2a1A2161,rtA2a1A2162,rtA2a1A2163,rtA2a1A2164,rtA2a1A2165,rtA2a1A2166,rtA2a1A2167,rtA2a1A2168,rtA2a1A2169,rtA2a1A2170,rtA2a1A2171,rtA2a1A2172,rtA2a1A2173,rtA2a1A2174,rtA2a1A2175,rtA2a1A2176,rtA2a1A2177,rtA2a1A2178,rtA2a1A2179,rtA2a1A2180,rtA2a1A2181,rtA2a1A2182,rtA2a1A2183,rtA2a1A2184,rtA2a1A2185,rtA2a1A2186,rtA2a1A2187,rtA2a1A2188,rtA2a1A2189,rtA2a1A2190,rtA2a1A2191,rtA2a1A2192,rtA2a1A2193,rtA2a1A2194,rtA2a1A2195,rtA2a1A2196,rtA2a1A2197,rtA2a1A2198,rtA2a1A2199,rtA2a1A2200,rtA2a1A2201,rtA2a1A2202,rtA2a1A2203,rtA2a1A2204,rtA2a1A2205,rtA2a1A2206,rtA2a1A2207,rtA2a1A2208,rtA2a1A2209,rtA2a1A2210,rtA2a1A2211,rtA2a1A2212,rtA2a1A2213,rtA2a1A2214,rtA2a1A2215,rtA2a1A2216,rtA2a1A2217,rtA2a1A2218,rtA2a1A2219,rtA2a1A2220,rtA2a1A2221,rtA2a1A2222,rtA2a1A2223,rtA2a1A2224,rtA2a1A2225,rtA2a1A2226,rtA2a1A2227,rtA2a1A2228,rtA2a1A2229,rtA2a1A2230,rtA2a1A2231,rtA2a1A2232,rtA2a1A2233,rtA2a1A2234,rtA2a1A2235,rtA2a1A2236,rtA2a1A2237,rtA2a1A2238,rtA2a1A2239,rtA2a1A2240,rtA2a1A2241,rtA2a1A2242,rtA2a1A2243,rtA2a1A2244,rtA2a1A2245,rtA2a1A2246,rtA2a1A2247,rtA2a1A2248,rtA2a1A2249,rtA2a1A2250,rtA2a1A2251,rtA2a1A2252,rtA2a1A2253,rtA2a1A2254,rtA2a1A2255,rtA2a1A2256,rtA2a1A2257,rtA2a1A2258,rtA2a1A2259,rtA2a1A2260,rtA2a1A2261,rtA2a1A2262,rtA2a1A2263,rtA2a1A2264,rtA2a1A2265,rtA2a1A2266,rtA2a1A2267,rtA2a1A2268,rtA2a1A2269,rtA2a1A2270,rtA2a1A2271,rtA2a1A2272,rtA2a1A2273,rtA2a1A2274,rtA2a1A2275,rtA2a1A2276,rtA2a1A2277,rtA2a1A2278,rtA2a1A2279,rtA2a1A2280,rtA2a1A2281,rtA2a1A2282,rtA2a1A2283,rtA2a1A2284,rtA2a1A2285,rtA2a1A2286,rtA2a1A2287,rtA2a1A2288,rtA2a1A2289,rtA2a1A2290,rtA2a1A2291,rtA2a1A2292,rtA2a1A2293,rtA2a1A2294,rtA2a1A2295,rtA2a1A2296,rtA2a1A2297,rtA2a1A2298,rtA2a1A2299,rtA2a1A2300
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
0,300,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,600,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,897,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1197,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1500,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
