rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n0,true,0.7850974547579308,0.746446853383712,2,443,false,100,3,0.4980477120012749,0.4450878813640151,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n1,false,0.14747070869154322,0.7542458758323816,0,4099,false,0,0,0.24486701391518495,0.219915457707192,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n2,true,0.6150239064547876,0.8003528173131926,3,375,false,100,4,0.4121270694795848,0.8972759475418117,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n3,false,0.007454537248822217,0.734053548110419,0,2026,false,101,2,0.5144337102074323,0.07595471670217813,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n4,false,0.8483785975407334,0.7797815630082817,0,950,false,101,4,0.3302299236162659,0.840575071327416,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n6,true,0.4654724821110711,0.8436641981430812,11,1771,false,28,10,0.8462237315786152,0.7929599181749184,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n9,true,0.44136290709594966,0.3467547303406848,4,114,false,103,8,0.6984883332339332,0.36557837127056514,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n10,true,0.4215732700558291,0.6052875139547479,4,389,false,101,3,0.6179265606682179,0.4620361204540254,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n12,true,0.8750784707179624,0.46931172469547855,0,1157,false,0,1,0.08411280914527236,0.5597288968719627,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n13,true,0.8270030416183769,0.770227106546004,0,676,false,100,2,0.032908705347140965,0.05722521380729462,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n15,true,0.28570230375061917,0.7453848249619409,3,1647,false,13,8,0.3777788934913462,0.8952486235541306,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n19,true,0.5759743457013765,0.8660997797776264,3,393,false,101,5,0.025086569532347502,0.8345130043941151,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n23,false,0.30812458616394534,0.6869305902518238,0,4099,false,0,0,0.7357288745401944,0.6071228680604048,null
423432,379972,212064,153095,58273,135730,76334,66094,90,48351,9922,86218,49512,49794,26540,14007,0,44246,4105,8061,1861,12522,367450,2717,8920,885,353,2364,41,312,1425,939,6284,2636,1766,4518,2636,0,1,884,1,0,884,0,95257,272193,27052,68205,272193,0,n26,true,0.5981784284407529,0.7283967725978981,5,876,false,101,3,0.8628953556936059,0.5069426793701881,null
