id,isSmoker,willpower,health,smokedPerDay,stress,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
n0,true,0.9676212721371927,0.47397311615204285,2,0.18971830877144624,false,52,5,0.17769238839435064,0.35341871777618095,null
n1,true,0.02720121072305056,0.8748194784954013,6,0.5706046891702561,false,7,15,0.24968331585922648,0.8017767971892934,null
n2,true,0.01073131138374537,0.4882017528032516,5,0.15043114233895483,false,1,3,0.9458244275744174,0.5652963697859192,null
n3,true,0.9854550766029686,0.5491865003948629,0,0.806855371312646,false,50,2,0.7983462165076178,0.6548850475766999,null
n4,true,0.14217402178810654,0.6789591991881774,4,0.19428970629339937,false,2,5,0.13689771619493385,0.4447743483711786,null
n7,true,0.38160870662181856,0.7255744444794876,12,0.4002818651720465,false,3,6,0.9322953132572871,0.17335267051107028,null
n11,true,0.3874363627858128,0.7288569060592979,4,0.3452569782442946,false,7,14,0.652685187456993,0.9919955945344396,null
n14,false,0.9983001159326418,0.8291384690397082,0,0.57207541158241,false,51,3,0.6543452571697597,0.34929981343126865,null
n16,true,0.37736164662105853,0.7936923823324069,11,0.8474204805972075,false,2,5,0.5374309669745478,0.8672269783664722,null
n17,true,0.9696572676877121,0.5714615021385365,4,0.28435474057147714,false,52,6,0.590171283154237,0.34436078448069257,null
n23,true,0.4776128244245768,0.8442441627817524,4,0.39736476801603204,false,4,9,0.8661007210330054,0.9957433962399737,null
n26,true,0.9884373548645047,0.6260626604731045,1,0.6260105065974164,false,50,2,0.6285302808802034,0.6724254469609261,null
n27,true,0.42070574272369365,0.5448096092586159,4,0.32451685033855715,false,2,4,0.6262660322676858,0.33066518001936834,null
n28,true,0.9854040659021251,0.560190402005376,0,0.30096509939479965,false,52,5,0.39589344727066644,0.5605321820264401,null
n33,false,0.997509516570839,0.5646812527266111,0,0.5425151595009826,false,50,1,0.45301596608839045,0.6195238950611983,null
n46,true,0.09347297341670247,0.48483413572316425,3,0.9831797200189244,false,2,4,0.8163722969170006,0.8854896354249853,null
n53,true,0.9329320717500234,0.10978929745205124,2,0.6084027644185759,false,2,4,0.5506662755202649,0.4378314539306477,null
n54,true,0.17524862814968145,0.6970152243927155,0,0.527971724140948,false,0,0,0.7692509471842679,0.15269199875416795,null
n55,true,0.956764926023847,0.78688873605481,14,0.2064019253602336,false,53,8,0.14769405412533065,0.1883101597838634,null
n68,true,0.966193563183286,0.9249446895757795,11,0.5886343685915617,false,2,5,0.09098090227279482,0.928365132528851,null
n70,true,0.2071885677050094,0.595697377402905,2,0.32608432636705437,false,4,8,0.23102601679087004,0.6993712874738103,null
n75,true,0.04193606163376462,0.6206864342886501,2,0.9962065196496366,false,1,2,0.385018512676478,0.8459654291036862,null
n77,true,0.9393175647186022,0.8429696728891949,16,0.8432021592077201,false,1,2,0.5002665304866013,0.45533835882466356,null
n78,true,0.7577392395812445,0.5122204198112381,5,0.27946590808388233,false,4,7,0.2916986119928616,0.6167981820165576,null
n81,true,0.043437488591544615,0.8098984836340362,6,0.1591547371641125,false,1,2,0.2417760399544005,0.20752886551327043,null
n84,false,0.9951479121617814,0.4733070505869915,0,0.43205807943709595,false,0,0,0.5549930686872677,0.4185744498243246,null
n85,true,0.1705212686940729,0.3361564299604523,5,0.7532901248016315,false,1,2,0.46185943797466256,0.6818327694573795,null
n87,true,0.1367169452426402,0.6640534759352269,4,0.8527335192656216,false,4,8,0.8281617539302193,0.5814197954206982,null
n88,true,0.16717669480985478,0.6784989563386739,12,0.38608986764185366,false,2,5,0.9084970317588367,0.8122079560130839,null
n92,true,0.9567272954051572,0.6184179508457623,7,0.5719133241135941,false,3,7,0.6285763172975144,0.3365504579838629,null
n96,true,0.5940325717078022,0.5123907388343508,3,0.34178900646841825,false,3,6,0.44055802853677434,0.4023855046425646,null
n98,true,0.9857824335183294,0.5563502507567331,0,0.06437816899152438,false,51,3,0.8998468170640392,0.7209053987580911,null
n99,true,0.9882912118440283,0.6338515780092199,1,0.5408668041278226,false,0,1,0.12842997581681237,0.9436943571020283,null
n113,true,0.24662920560705617,0.755961972605433,3,0.8605918525409293,false,2,4,0.5542757216553187,0.6128492955149449,null
n116,false,0.9996793002030339,0.8665865870903053,0,0.5778540985082015,false,50,1,0.6343098163996902,0.48489813711998453,null
n126,true,0.1348881403417903,0.69878063640795,3,0.9282450118094965,false,1,2,0.7019193929447024,0.6056574944748565,null
n132,false,0.9973854156084447,0.5510204661038639,0,0.07178035368907565,false,50,1,0.31284541325710413,0.17066310450846384,null
n138,true,0.989752021612752,0.9293933176917953,0,0.0782219064397095,false,50,2,0.8729815650285027,0.7172430320748935,null
n141,true,0.516890771202637,0.8664703589516821,12,0.5922050290418825,false,0,0,0.7752578008036215,0.37004378041972397,null
n144,true,0.3205481822661767,0.606468151936022,9,0.24408848874433103,false,3,3,0.8711130488835455,0.38840714379203145,null
n149,true,0.18943414352555446,0.552212455272589,0,0.19959462989822008,false,3,6,0.49303854078781195,0.8442139668236348,null
n154,true,0.49956242746728896,0.6313561579876537,1,0.09636174015742732,false,3,6,0.5178844209914272,0.7839187534755252,null
n157,false,0.9963243627248224,0.5386573397355585,0,0.5234886556531948,false,52,4,0.6469438312505544,0.959519986259732,null
n165,false,0.9961582884300236,0.7417900190439009,0,0.6476346814902131,false,52,4,0.7909310166713821,0.16456269037393,null
n167,false,0.9988995936386057,0.7942377620440504,0,0.5740576522156302,false,52,5,0.43158992853710204,0.32932098597684745,null
n169,true,0.22727959920922586,0.7218228823517703,12,0.6577996373855871,false,3,6,0.571356095039744,0.5497297197535759,null
n171,true,0.607574061493644,0.6693994712950081,13,0.2937214943254111,false,1,2,0.561631020043636,0.4421667647583987,null
n178,false,0.996486510838143,0.9485069333509615,0,0.5829878742572054,false,50,2,0.8610025173024153,0.8904343991071919,null
n181,false,0.9989871734762276,0.7006718863207707,0,0.5216842587768511,false,52,4,0.8720071655199017,0.5230419229842652,null
n185,true,0.4769924531648577,0.5909495742281652,9,0.5316212773353123,false,4,4,0.8556970061866542,0.7458066040510071,null
n189,true,0.6232669500682336,0.7982567996004679,9,0.06547346325296627,false,4,7,0.32422766019811405,0.4132312753401912,null
n190,true,0.48729246728182074,0.7164942954832073,3,0.5844148799227674,false,3,7,0.6374524465337645,0.25671127616725903,null
n191,true,0.9671543263247564,0.49052452045928996,5,0.27443475492936664,false,2,5,0.34169450535884327,0.5798416454555777,null
n192,true,0.09370367326204977,0.7276143784798882,11,0.1797006142626379,false,4,9,0.8062865296604085,0.422818915687705,null
n194,true,0.9856094588250077,0.5263501550758478,0,0.6211542647580862,false,51,5,0.9110789175638838,0.3640865784019012,null
n203,true,0.6474602561544004,0.71946976765486,11,0.9197569284792233,false,4,5,0.4367618682798523,0.6863348507457215,null
n211,false,0.995428988140613,0.7644934753215739,0,0.8519353400782472,false,51,4,0.5429846757164692,0.8402050655619687,null
n213,true,0.3370970673130631,0.3675558380584644,5,0.04956478262796882,false,2,5,0.9655437415511914,0.3736646674024196,null
n216,true,0.4662670853760674,0.6301838427018195,14,0.5126566330478364,false,1,2,0.7845751909443057,0.22245027985290167,null
n222,true,0.5894342166555632,0.4725460860064325,13,0.25573464452694883,false,1,2,0.09598673081982789,0.8582024053200802,null
n225,true,0.185821966627682,0.5261403433480718,5,0.4175606695775194,false,1,2,0.7961475035333736,0.7947108609624695,null
n226,true,0.5666324369514796,0.982997448445623,5,0.38736717214161576,false,6,13,0.8415374201092984,0.46532399999430374,null
n230,true,0.15088708345508642,0.9188149404121422,13,0.3158444142241359,false,3,6,0.030816117755707362,0.560598279977593,null
n236,false,0.9980083489167939,0.5678165095961981,0,0.6579867364806711,false,51,3,0.07786830262818067,0.19533033847811326,null
n237,true,0.39356340378012633,0.6190751421124636,0,0.47777791284662485,false,3,6,0.4651099746063757,0.6924500103652035,null
n246,true,0.022614124429074,0.9650838452744215,11,0.42099697582299994,false,2,4,0.7828254977092058,0.42991192881855844,null
n250,false,0.9971832031955257,0.7106198217355142,0,0.5514004433413151,false,50,1,0.8040190101103923,0.6844106162407247,null
n255,false,0.9995844981430068,0.7840081264488249,0,0.3227386328818428,false,50,5,0.18983494679698276,0.9029300509377114,null
n270,true,0.5853495989707787,0.618588645188836,5,0.2687426743016774,false,1,2,0.6286604631695599,0.4540631089412055,null
n271,true,0.9858544250732032,0.6698370436421348,0,0.4996545238107665,false,0,1,0.21575822894067065,0.2825372753639734,null
n272,true,0.9678268064124391,0.6596588836799057,2,0.733484390927311,false,52,5,0.6106268274039471,0.73445472027667,null
n279,true,0.4610290950808595,0.651225759497044,6,0.6227001848367324,false,1,3,0.8811693431950034,0.3227907504144522,null
n280,false,0.9977894009709716,0.5872045234206806,0,0.3752595872954948,false,52,5,0.6651953461684519,0.6296633249324437,null
n283,true,0.987655446835107,0.5487667616139158,4,0.7227992706965067,false,0,1,0.012872603358297652,0.6120299503791189,null
n286,false,0.9969480462953653,0.731564113208754,0,0.9313635404002933,false,50,1,0.584010539481034,0.2180449223466227,null
n288,true,0.9858057778064109,0.8181557715431356,0,0.9421058016391048,false,0,1,0.2571830688184502,0.889714383723037,null
n290,false,0.99630167292347,0.4890368361760956,0,0.38487268263970786,false,50,2,0.27751327988308394,0.32769245581241296,null
n295,true,0.0728997003457064,0.7694918109803963,11,0.44068107159633807,false,3,7,0.9839746839085133,0.7621346522070678,null
