rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n0,true,0.7771457452988876,0.746446853383712,7,16100,false,0,0,0.4980477120012749,0.4450878813640151,null
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n1,false,0.15342768874196033,0.7542458758323816,0,16100,false,500,0,0.24486701391518495,0.219915457707192,null
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n2,true,0.6109475866438027,0.8003528173131926,4,15789,false,311,1,0.4121270694795848,0.8972759475418117,null
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n3,false,0.008005129447910148,0.734053548110419,0,7830,false,502,4,0.5144337102074323,0.07595471670217813,null
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n4,true,0.8518214808641591,0.7797815630082817,7,12779,false,0,1,0.3302299236162659,0.840575071327416,null
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n6,true,0.46540732113002037,0.8436641981430812,4,16100,false,0,0,0.8462237315786152,0.7929599181749184,null
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n9,false,0.48856227625931054,0.3467547303406848,0,16100,false,500,0,0.6984883332339332,0.36557837127056514,null
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n10,true,0.4284497721532526,0.6052875139547479,4,10547,false,500,2,0.6179265606682179,0.4620361204540254,null
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n12,false,0.8853592587777297,0.46931172469547855,0,14414,false,501,3,0.08411280914527236,0.5597288968719627,null
4105273,4930327,1571287,2515609,18377,1009342,561945,1860335,0,14407,3970,721401,287941,563042,654177,823815,0,10559,3848,884,3086,154259,4776068,54157,96837,3265,20790,33367,7790,13000,23819,9548,95703,1134,43318,52385,1134,0,1,3264,1,0,3264,0,2407342,2368726,810569,1596773,1029781,1338945,n13,false,0.8311068346638574,0.770227106546004,0,5835,false,502,4,0.032908705347140965,0.05722521380729462,null
